case_id,cores,status,selected,quality_source,makespan_cycles,singlecore_cycles,singlecore_speedup,bounded_cycles,bounded_speedup,makespan_delta_vs_bounded,quality_comparison,extra_ddr_bytes,bounded_extra_ddr_bytes,solver_wall_seconds,new_E0_wall_seconds,new_E0_calls,historical_E0_wall_seconds,historical_E0_attempt_id,bounded_source_commit,bounded_attempt_id,plan_sha256
034,4,ok,bounded,historical_exact_plan_bytes,211980,842996,3.976771393527691,211980,3.976771393527691,0,tie,3116544,3116544,1.6800173000010545,,0,1.8041787080001086,nikolastarx-20260924T1439Z-boundedfull4-99-P1-034-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-034-k4-r0,a9e4a69467cb75973bd487adf4864ee15d942ea90ee9bc3051a168548a642ca4
035,4,ok,bounded,historical_exact_plan_bytes,95442,169571,1.7766916032773832,95442,1.7766916032773832,0,tie,4608,4608,1.2582861999981105,,0,0.942188500019256,nikolastarx-20260924T1439Z-boundedfull4-99-P1-035-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-035-k4-r0,5ef696e856a3a979f974352b1b59e58d962b91e5611a25ab8fa5e174c3a9c4b4
036,4,ok,bounded,historical_exact_plan_bytes,233584,931510,3.987901568600589,233584,3.987901568600589,0,tie,3456,3456,0.9032865000008314,,0,0.39870237500872463,nikolastarx-20260924T1439Z-boundedfull4-99-P1-036-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-036-k4-r0,9147f3faf77140a72c33fd6e8c073f0e7e76187092de7180d6f600863a87eebe
037,4,ok,bounded,historical_exact_plan_bytes,53320,210001,3.938503375843961,53320,3.938503375843961,0,tie,614400,614400,0.7254038999999466,,0,0.12923454100382514,nikolastarx-20260924T1439Z-boundedfull4-99-P1-037-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-037-k4-r0,ea457495dbb3647b5c8776cc55e5c28da78bf5d608c8ca2e450e43ae0615e2f4
038,4,ok,bounded,historical_exact_plan_bytes,345206,1364555,3.9528716186856543,345206,3.9528716186856543,0,tie,9295872,9295872,2.383734499999264,,0,5.50253724999493,nikolastarx-20260924T1439Z-boundedfull4-99-P1-038-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-038-k4-r0,016d7e49b50ccbdadc5ba5fc06272cc5de0c96cb6007db7ae74301f13453d4eb
039,4,ok,fork,new_external_E0,368961,1435262,3.8900100552632932,395323,3.6306058590064327,-26362,win,14536704,17604608,1.7836199999983364,15.019626000001153,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-039-k4-r0,240d75f680b6b7f0abe4fb594f9cc8717fa129b6f97c59ae21516e62cce3375a
040,4,ok,bounded,historical_exact_plan_bytes,110202,253454,2.2999038129979494,110202,2.2999038129979494,0,tie,53760,53760,1.8171700999992026,,0,0.7207701670122333,nikolastarx-20260924T1439Z-boundedfull4-99-P1-040-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-040-k4-r0,aec10edc02f71db638fe0bf09000cfbdc4174679a5b2f0b69040480abe7f2a2b
041,4,timeout,fork,new_external_E0,,6003957,,1493783,4.019296644827261,,unavailable,,39226368,4.769015699999727,90.29721839999911,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-041-k4-r0,d37fcbe6f91b76bbf21926f177b92cf1a8256efebabf6c29b5d7a6ca46782716
042,4,ok,bounded,historical_exact_plan_bytes,446658,1686740,3.77635685468524,446658,3.77635685468524,0,tie,8844576,8844576,1.7823019999996177,,0,2.9061518749804236,nikolastarx-20260924T1439Z-boundedfull4-99-P1-042-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-042-k4-r0,25506e1c2dbb76117c170876f71edbe96b6b1dc512345b028b7ad8c848c5f80f
043,4,ok,bounded,historical_exact_plan_bytes,269194,677656,2.517351798331315,269194,2.517351798331315,0,tie,648200,648200,3.1548462999999174,,0,5.997220874996856,nikolastarx-20260924T1439Z-boundedfull4-99-P1-043-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-043-k4-r0,0b4e03fdd21c1dc0936ebe0767ab838861518d2f4ea829b047ea4cbe349ecba7
