case_id,stage,status,started_at,finished_at,wall_seconds,overlap_P2_5C_seconds,overlap_P2_k1_r6a_seconds,overlap_P2_k2_r7a_seconds,overlap_any_confirmed_P2_seconds,overlap_both_P2_k1_k2_seconds
084,solver,ok,2026-09-24T17:11:26.349726Z,2026-09-24T17:11:29.590244Z,3.236483500000759,0,3.240518,0,3.240518,0
085,solver,ok,2026-09-24T17:11:30.381378Z,2026-09-24T17:11:34.767040Z,4.383638999999675,0,4.385662,0,4.385662,0
085,evaluation,ok,2026-09-24T17:11:34.801674Z,2026-09-24T17:11:54.686216Z,19.88244660000055,0,19.884542,3.302062,19.884542,3.302062
086,solver,ok,2026-09-24T17:11:57.230071Z,2026-09-24T17:11:59.078407Z,1.8454723999966518,0,1.848336,1.848336,1.848336,1.848336
087,solver,ok,2026-09-24T17:11:59.502071Z,2026-09-24T17:12:05.184925Z,5.680694700000458,0,5.682854,5.682854,5.682854,5.682854
088,solver,ok,2026-09-24T17:12:05.932228Z,2026-09-24T17:12:07.114335Z,1.1795491999982914,0,1.182107,1.182107,1.182107,1.182107
089,solver,ok,2026-09-24T17:12:07.818232Z,2026-09-24T17:12:09.095090Z,1.273569499997393,0,1.276858,1.276858,1.276858,1.276858
090,solver,ok,2026-09-24T17:12:09.756487Z,2026-09-24T17:12:11.786598Z,2.026958200000081,0,2.030111,2.030111,2.030111,2.030111
091,solver,ok,2026-09-24T17:12:12.240559Z,2026-09-24T17:12:19.179776Z,6.936438900000212,0,6.939217,6.939217,6.939217,6.939217
091,evaluation,timeout,2026-09-24T17:12:19.220456Z,2026-09-24T17:13:49.330513Z,90.1080163000006,0,90.110057,90.110057,90.110057,90.110057
092,solver,ok,2026-09-24T17:13:49.339016Z,2026-09-24T17:13:52.762208Z,3.4197217999972054,0,3.423192,3.423192,3.423192,3.423192
093,solver,ok,2026-09-24T17:13:53.386505Z,2026-09-24T17:13:53.975230Z,0.5862727999992785,0,0.588725,0.588725,0.588725,0.588725
094,solver,ok,2026-09-24T17:13:54.396371Z,2026-09-24T17:13:55.324863Z,0.926061899997876,0,0.928492,0.928492,0.928492,0.928492
095,solver,ok,2026-09-24T17:13:55.841990Z,2026-09-24T17:13:57.901313Z,2.055018499999278,0,2.059323,2.059323,2.059323,2.059323
096,solver,ok,2026-09-24T17:13:58.738703Z,2026-09-24T17:13:59.796927Z,1.0547680999989097,0,1.058224,1.058224,1.058224,1.058224
097,solver,ok,2026-09-24T17:14:00.328010Z,2026-09-24T17:14:02.634295Z,2.3030670000007376,0,2.306285,2.306285,2.306285,2.306285
098,solver,ok,2026-09-24T17:14:03.374121Z,2026-09-24T17:14:04.381448Z,0.9965121000022918,0,1.007327,1.007327,1.007327,1.007327
099,solver,ok,2026-09-24T17:14:04.952690Z,2026-09-24T17:14:06.767775Z,1.8127256999978272,0,1.815085,1.815085,1.815085,1.815085
100,solver,ok,2026-09-24T17:14:07.982699Z,2026-09-24T17:14:09.309890Z,1.323264200000267,0,1.327191,1.327191,1.327191,1.327191
