case_id,cores,fang_makespan_cycles,history_makespan_cycles,fang_baseline_speedup,history_baseline_speedup,history_algorithm,history_variant,history_solver_commit,history_record_id,history_ddr_bytes,history_extra_ddr_bytes,history_solver_wall_seconds
021,5,1287783,1287783,5.100189239957353,5.100189239957353,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,ca833ed670997dadab9204677917343984cfe68dbe33b7ca51016cdeda828dff,8642560,5304320,0.27848295800504275
022,5,26580,26580,2.1361926260346125,2.1361926260346125,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,fc007fadbb81de507037c5b3e99eed250dd875cb19c87c4597e624c4e1eb3e53,416650,202964,0.2771382499777246
023,5,32616,32616,3.7593205788570025,3.7593205788570025,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,9aabbf6b666b6545feb5147f0f743d5498bd126fd3611699fcf921cae49c20c0,674496,231052,0.277188208012376
024,5,2561181,2561181,0.9977205828092587,0.9977205828092587,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,04583edb59a802cffcfcf8e5e2b8c15171bd2c440e87cca3d32aa75d4f1f910c,2162798,1769580,0.2753212919924408
025,5,980810,980810,4.958173346519713,4.958173346519713,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b404ff7efb941f70230d73a57b01f21b715c57e00e98d5ec46c15f61792b0ad5,8374272,156672,0.5472030000237282
026,5,82546,82546,1.2017905168027525,1.2017905168027525,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,14d78d60855b5226b8ef20aef774c411dd18de6e5b40b1cc90ebb1060652ab66,1019294,490440,0.27523183400626294
027,5,869276,869276,2.719449288833466,2.719449288833466,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,cbce969620587596cc984279f27fb3afdea557e2366c4c56ef5409e74f2fc86c,5443584,3403776,0.27534337498946115
028,5,12062498,12062498,3.634076457463454,3.634076457463454,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,a851d37e6a21f7d432828688440560a3250e0cec326ca80ec3d2f0f0bdd4da3e,283527696,277619088,0.553841624991037
029,5,19143,19143,1.9618137178080761,1.9618137178080761,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,57b9265a7655220be9cf721c50a2b01f0f8341826a8fabd09b3d76ca5c6ef7b3,483442,53278,0.2776329999906011
030,5,2171722,2171722,1.2929988276584203,1.2929988276584203,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b30e04183b646d1b135d148079e69eb1c425ec3ffd272f778150efc7a14f9965,8386808,5992748,0.278083749988582
031,5,927541,927541,1.5248587393980428,1.5248587393980428,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,75cfdcc37eed05f440aa11181cd821c06281da4f60a1bb76fa8a8fc561849d58,6479696,4294656,0.2763869999907911
032,5,26498,26498,1.5640048305532492,1.5640048305532492,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,9c7b68cc2af345acec4d1cdd01739f977e9ac42954618398f031f1610114b845,541056,247968,0.27619620799669065
033,5,1434135,1434135,1.2371192391232346,1.2371192391232346,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,41303d9d4a302b17e4acd8d4025594183aa6a98d30c896fefca3a195aa0694a0,10225982,7253072,0.2745673749886919
034,5,609551,609551,1.382978618688182,1.382978618688182,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b0ca97f49cdf2791f52766f95f34db6412c053bf9d924ebc01e0ee3d9a63a4df,4053262,1772876,0.2726559170114342
035,5,105334,105334,1.6098410769552092,1.6098410769552092,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,f493b5e9c9c94aaec45970aa172bc72e631f8d8b9e0e96712b96faf45ed52afd,492330,81476,0.2745033329993021
036,5,187182,187182,4.976493466252097,4.976493466252097,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,2a0ccf1ccf15c9baf4ee4e7f19526337b9a9f57ae935f2d83ca7d5bc4016634c,6559360,4608,0.27493154202238657
037,5,43013,43013,4.882268151489085,4.882268151489085,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,be6bd3173fb73b8b6e3d19e43fcab10aa2aeeb3b63538302de73cd0b4bf058e1,1925120,1310720,0.27475287500419654
038,5,1238677,1238677,1.1016229412510283,1.1016229412510283,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b77cc0ddf7609d5c92a5ff59c8d4f09f565ad8d6a636d1c9c6c9d1318d19b5f2,7510966,4708016,0.27359791699564084
039,5,327297,327297,4.385197542293391,4.385197542293391,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,82c04608618aaed0ec31d02d9ae60d521eb496fdba3a220040cada3311c1d73f,12554240,8065024,0.2788529169920366
040,5,242022,242022,1.0472353752964607,1.0472353752964607,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,18538d34d02bcb2149c4fa33dbaa8a108712d2933315bc9c1b32b6b92b8c58f9,1304808,393570,0.2799040419922676
041,5,4678495,4678495,1.2833094830709448,1.2833094830709448,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,b6d84ebd438d2e491428b5c407e3b476d500da42b9e4ac94ccd86071c406b7f6,31698196,26748216,0.2805785830132663
042,5,465691,465691,3.622015456601051,3.622015456601051,q2-contiguous-baseline,multicore-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,ab03e91064fe687aedf888099062508889b8f33ad6547e11ce96b05a544b6e95,11640804,9251840,0.2826184580044355
