case_id,cores,old_B,old_M,old_B_over_M,new_B,new_M,new_B_over_M,delta_B_over_M,old_selected_strategy,new_selected_strategy,old_extraDDR_bytes,new_extraDDR_bytes,old_spill_bytes,new_spill_bytes
052,5,180301,32160,5.606374378109453,180301,32160,5.606374378109453,0.0,component_envelope,component_envelope,328704,328704,0,0
053,5,1472686,476886,3.0881300772092284,1472686,515715,2.85561986756251,-0.2325102096467182,component_envelope,dominant_component_dag,6974208,21681768,3869952,0
054,5,815051,501842,1.624118746537755,815051,369707,2.204586334583873,0.5804675880461181,component_envelope,dominant_component_dag,196608,15423932,0,0
055,5,118835,21144,5.620270525917518,118835,68330,1.7391336162739646,-3.8811369096435535,component_envelope,dominant_component_dag,115712,3186536,0,0
056,5,277285,253392,1.094292637494475,277285,165886,1.6715394909757304,0.5772468534812554,component_envelope,dominant_component_dag,0,7222022,0,0
057,5,59726,16210,3.684515731030228,59726,40524,1.473842661139078,-2.21067306989115,component_envelope,dominant_component_dag,14112,1945988,0,0
058,5,4539717,1082199,4.19490038338605,4539717,1082199,4.19490038338605,0.0,component_envelope,component_envelope,41074688,41074688,22691840,22691840
059,5,829473,150867,5.498041321163674,829473,150867,5.498041321163674,0.0,component_envelope,component_envelope,4325376,4325376,0,0
060,5,888789,172962,5.138637388559337,888789,172962,5.138637388559337,0.0,component_envelope,component_envelope,3598464,3598464,55296,55296
061,5,77191,22503,3.4302537439452516,77191,33396,2.3113845969577196,-1.118869146987532,component_envelope,dominant_component_dag,81408,1325202,0,0
062,5,2854809,617306,4.624625388381127,2854809,617306,4.624625388381127,0.0,tree_paired_leaves,tree_paired_leaves,43008,43008,0,0
063,5,1070397,232764,4.598636387070165,1070397,232764,4.598636387070165,0.0,tree_paired_leaves,tree_paired_leaves,33792,33792,0,0
064,5,19116,13697,1.3956340804555742,19116,13697,1.3956340804555742,0.0,dag_eft,dag_eft,122132,122132,0,0
065,5,53068,9429,5.628168416587124,53068,9429,5.628168416587124,0.0,component_envelope,component_envelope,55728,55728,0,0
066,5,359070,248898,1.4426391533881349,359070,160878,2.2319397307276323,0.7893005773394974,component_envelope,dominant_component_dag,29280,5999926,0,0
067,5,63834834,15931687,4.006784341168641,63834834,12592585,5.0692398741005125,1.062455532931872,component_envelope,shared_input_wave,262750080,17327616,247863680,2441216
068,5,362095,295114,1.2269665281891067,362095,157652,2.2967992794255703,1.0698327512364636,component_envelope,dominant_component_dag,1944,5395378,0,0
069,5,25144,19824,1.268361581920904,25144,19824,1.268361581920904,0.0,dag_eft,dag_eft,763410,763410,0,0
070,5,117300,29585,3.9648470508703735,117300,48478,2.4196542761665083,-1.5451927747038652,component_envelope,dominant_component_dag,361472,2102266,0,0
071,5,18919,11332,1.6695199435227674,18919,11332,1.6695199435227674,0.0,dag_eft,dag_eft,420016,420016,0,0
072,5,23897828,5087361,4.697490113243389,23897828,5087361,4.697490113243389,0.0,component_envelope,component_envelope,103942944,103942944,66427336,66427336
073,5,10081626,3517515,2.8661216796516857,10081626,1846409,5.460126115069847,2.594004435418161,component_envelope,shared_input_wave,139772800,14886400,124886400,0
