case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
028,2,component_envelope,ok,23638628,0.5621371660090517,6.4566738339781296,283382208,277473600,275325120,,43836040,1.8544240384848054
028,3,component_envelope,ok,16770711,0.5728742089995649,5.34823508298723,283277664,277369056,273072096,,43836040,2.613845054034978
028,4,component_envelope,ok,13608312,0.5735419999982696,4.77971995799453,283669248,277760640,271315200,,43836040,3.2212694711879033
028,5,component_envelope,ok,11491035,0.5706179160042666,4.491134291980416,283727520,277818912,269224992,,43836040,3.814803453300769
029,1,component_envelope,ok,37555,0.28842666701530106,0.2825734580110293,430164,0,0,,37555,1.0
029,2,component_envelope,ok,20442,0.2832343750051223,0.2836100419808645,430164,0,0,,37555,1.8371490069464826
029,3,component_envelope,ok,14718,0.2845890420139767,0.28713441599393263,430164,0,0,,37555,2.5516374507405897
029,4,component_envelope,ok,13093,0.2835483750095591,0.28543204101151787,430164,0,0,,37555,2.8683265867257313
029,5,component_envelope,ok,11624,0.28694058299879543,0.2829307089850772,430164,0,0,,37555,3.2308155540261527
030,1,component_envelope,ok,2820990,0.5672746670024935,2.509884792001685,3715020,1320960,1320960,,2808034,0.9954072860945979
030,2,component_envelope,ok,1394113,0.5681682089925744,1.9688753340160474,4764620,2370560,419840,,2808034,2.014208317403252
030,3,component_envelope,ok,931517,0.5614318750158418,1.9595154160051607,6553548,4159488,258048,,2808034,3.014474239332186
030,4,component_envelope,ok,696338,0.5991745419742074,1.9815782079822384,8344524,5950464,131072,,2808034,4.032573261835488
030,5,component_envelope,ok,558860,0.5621413339977153,1.9661052500014193,9882572,7488512,24576,,2808034,5.024575027735032
031,1,component_envelope,ok,1421235,0.29897899998468347,1.4097862080088817,4310864,2125824,2125824,,1414369,0.9951689903499421
031,2,component_envelope,ok,731691,0.28224041700013913,1.1294207079918124,4806992,2621952,890880,,1414369,1.9330140728804919
031,3,component_envelope,ok,534795,0.28627225002855994,1.1287460000021383,6181712,3996672,602112,,1414369,2.6446937611608186
