case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
031,4,component_envelope,ok,419131,0.2821255419985391,1.1289066669996828,6831440,4646400,331776,,1414369,3.3745272957619457
031,5,component_envelope,ok,336697,0.28670362499542534,0.8652598750195466,7550288,5365248,374784,,1414369,4.200717559111011
032,1,component_envelope,ok,34103,0.2832500000076834,0.2846722910180688,293088,0,0,,41443,1.2152303316423776
032,2,component_envelope,ok,18367,0.2821670830016956,0.2795507910195738,299304,6216,0,,41443,2.2563837316927096
032,3,component_envelope,ok,13907,0.2861357080109883,0.2839280000189319,305448,12360,0,,41443,2.980010066872798
032,4,component_envelope,ok,11239,0.2836397500068415,0.28285995800979435,311664,18576,0,,41443,3.6874277070913783
032,5,component_envelope,ok,10714,0.2794657089980319,0.284418082999764,311664,18576,0,,41443,3.868116483106216
033,1,component_envelope,ok,1792938,0.283802874997491,0.8402152089984156,8473326,5500416,5500416,,1774196,0.9895467662573942
033,2,component_envelope,ok,882917,0.28228891600156203,0.8387599589768797,8830734,5857824,3780096,,1774196,2.0094708789161384
033,3,component_envelope,ok,582998,0.2849105409986805,0.5619719999958761,9372462,6399552,2409984,,1774196,3.0432282786561875
033,4,component_envelope,ok,441108,0.2839810420118738,0.5611957920191344,9674574,6701664,1459200,,1774196,4.022135168711517
033,5,component_envelope,ok,352730,0.28257041599135846,0.5694779170153197,10528110,7555200,1064448,,1774196,5.029898222436424
034,1,component_envelope,ok,805560,0.2850600410019979,0.8406783750106115,2280386,0,0,,842996,1.0464720194647201
034,2,component_envelope,ok,398818,0.2821610000100918,0.8467479580140207,3448258,1167872,0,,842996,2.1137360901463826
034,3,component_envelope,ok,262726,0.28292095800861716,0.5651227089983877,4560834,2280448,0,,842996,3.208650837754923
034,4,component_envelope,ok,193847,0.2848316250019707,0.5635248750040773,5370306,3089920,0,,842996,4.348769906163108
034,5,component_envelope,ok,164609,0.2820459590002429,0.8353042920061853,5778370,3497984,0,,842996,5.1212023643907685
035,1,component_envelope,ok,152994,0.2787423330009915,0.8385543750191573,410854,0,0,,169571,1.1083506542740238
035,2,component_envelope,ok,88365,0.2856030840193853,0.5648792919819243,410854,0,0,,169571,1.9189837605386748
035,3,component_envelope,ok,88438,0.2825414999970235,0.566167500015581,415462,4608,0,,169571,1.9173997602840407
035,4,component_envelope,ok,88511,0.28151912498287857,0.5584950409829617,410854,0,0,,169571,1.915818372857611
