method,case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup
q2-adaptive-budget,096,3,75620.0,29398.0,2.5722838288318934,2.5722838288318934
q2-adaptive-budget,097,3,11491509.0,3660459.0,3.1393628503966307,3.1393628503966307
q2-adaptive-budget,098,3,163731.0,90030.0,1.8186271242919028,1.8186271242919028
q2-adaptive-budget,099,3,1599756.0,534590.0,2.992491442039694,2.992491442039694
q2-adaptive-budget,100,3,106726.0,58044.0,1.8387085659155125,1.8387085659155125
q2-adaptive-budget,001,4,233110.0,58984.0,3.952088702020887,3.952088702020887
q2-adaptive-budget,002,4,240813.0,67942.0,3.5443908039209915,3.5443908039209915
q2-adaptive-budget,003,4,566163.0,514387.0,1.100655731968343,1.100655731968343
q2-adaptive-budget,004,4,386417.0,100126.0,3.8593072728362263,3.8593072728362263
q2-adaptive-budget,005,4,90450.0,76409.0,1.1837610752660026,1.1837610752660026
q2-adaptive-budget,006,4,69275.0,31425.0,2.2044550517104216,2.2044550517104216
q2-adaptive-budget,007,4,979262.0,246030.0,3.980254440515384,3.980254440515384
q2-adaptive-budget,008,4,250437.0,63768.0,3.9273146405720736,3.9273146405720736
q2-adaptive-budget,009,4,139915.0,87361.0,1.6015727841943201,1.6015727841943201
q2-adaptive-budget,010,4,71470.0,29933.0,2.3876657869241305,2.3876657869241305
q2-adaptive-budget,011,4,184697.0,46880.0,3.9397824232081913,3.9397824232081913
q2-adaptive-budget,012,4,51401.0,13803.0,3.723900601318554,3.723900601318554
q2-adaptive-budget,013,4,263949.0,66946.0,3.942715024049234,3.942715024049234
q2-adaptive-budget,014,4,18021184.0,4510101.0,3.995738454637712,3.995738454637712
q2-adaptive-budget,015,4,160641.0,56886.0,2.8239109798544457,2.8239109798544457
q2-adaptive-budget,016,4,7715523.0,2250687.0,3.4280746278802874,3.4280746278802874
q2-adaptive-budget,017,4,130072.0,31517.0,4.127042548465908,4.127042548465908
q2-adaptive-budget,018,4,1020703.0,254215.0,4.015117125267982,4.015117125267982
q2-adaptive-budget,019,4,64148.0,24243.0,2.6460421564987833,2.6460421564987833
q2-adaptive-budget,020,4,532746.0,146116.0,3.6460483451504286,3.6460483451504286
q2-adaptive-budget,021,4,6560801.0,1605196.0,4.087227354167341,4.087227354167341
q2-adaptive-budget,022,4,54123.0,15012.0,3.6053157474020785,3.6053157474020785
q2-adaptive-budget,023,4,88278.0,24256.0,3.639429419525066,3.639429419525066
q2-adaptive-budget,024,4,2555343.0,751695.0,3.3994412627461936,3.3994412627461936
q2-adaptive-budget,025,4,4703066.0,1177396.0,3.9944640545746717,3.9944640545746717
q2-adaptive-budget,026,4,95694.0,44173.0,2.166345957938107,2.166345957938107
q2-adaptive-budget,027,4,2363952.0,559196.0,4.227412213249022,4.227412213249022
q2-adaptive-budget,028,4,40612073.0,10098271.0,4.021685791557783,4.021685791557783
q2-adaptive-budget,029,4,37555.0,13093.0,2.8683265867257313,2.8683265867257313
q2-adaptive-budget,030,4,2820990.0,696338.0,4.051179168737021,4.051179168737021
q2-adaptive-budget,031,4,1421235.0,419131.0,3.3909088089404027,3.3909088089404027
q2-adaptive-budget,032,4,34103.0,11239.0,3.0343446925883084,3.0343446925883084
q2-adaptive-budget,033,4,1792938.0,441108.0,4.064623629587312,4.064623629587312
q2-adaptive-budget,034,4,805560.0,193847.0,4.155648526931033,4.155648526931033
q2-adaptive-budget,035,4,152994.0,88511.0,1.7285309170611562,1.7285309170611562
q2-adaptive-budget,036,4,931510.0,233584.0,3.987901568600589,3.987901568600589
q2-adaptive-budget,037,4,210533.0,57428.0,3.666033990387964,3.666033990387964
q2-adaptive-budget,038,4,1353582.0,336414.0,4.0235602561130035,4.0235602561130035
q2-adaptive-budget,039,4,1425374.0,409739.0,3.4787364639441205,3.4787364639441205
q2-adaptive-budget,040,4,244334.0,103829.0,2.353234645426615,2.353234645426615
q2-adaptive-budget,041,4,6000284.0,1498613.0,4.003891598431349,4.003891598431349
q2-adaptive-budget,042,4,1800662.0,500651.0,3.5966411731925034,3.5966411731925034
q2-adaptive-budget,043,4,616415.0,263552.0,2.3388743018455562,2.3388743018455562
q2-adaptive-budget,044,4,74523.0,43795.0,1.701632606461925,1.701632606461925
