case,cores,makespan,extra_ddr,ddr_bytes,spill_bytes,solver_wall,evaluation_wall,e0_result_reused,platform,cpu,workers,timing_scope,attempt_id,revision,run_id,solver_commit,source_result_sha256
008,3,137062,3981312,6635736,0,0.6232982079964131,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-008-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,b6a38ca89688a5d4284fe81e94f1cc9f207c9b694466d7574e8c6d33d190ed44
008,4,117710,3981312,6635736,0,0.6579539169906639,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-008-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,9ed20b5c2ffeb8f29b1c77c846cf3e686d91006b567e7d212c453b02862b737b
008,5,100603,0,2654424,0,0.648381416045595,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-008-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,5483530fd3d58f8372220ee9be4414d84b01d87b515483c6244b660ba197a8d2
009,1,153397,0,495332,0,0.3362098329816945,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-009-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,140043de284eece9ce4f1a029ce0cf256904b74306e303b1dd108c598dfe4cba
009,2,92011,322174,817506,0,1.7807584580150433,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-009-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,d68dee664a2e8cb6dec9e1dc8cb95034a99ff2b578839f20d4f5f7c370812cd7
009,3,69982,435856,931188,0,1.7886485830531456,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-009-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,499c673615996dde5e729518cf914c524aba8960f1c6a45262cb14e894c5f726
009,4,57707,496354,991686,0,2.059019874955993,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-009-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,b56443e6d56087278dbf7bc89f3451a81f9f3b140b5c2929f5e1a8f5bb602d7a
009,5,50248,545012,1040344,0,1.7812983330222778,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-009-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,aec107ac8c6223d63eeda5dcef2a754c79cbbedb7542cbd051be7cb7eec178f4
010,1,86969,0,384150,0,0.34642558300402015,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-010-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,141d513c2838583ae9a820700ac0f738e83551ccb55e19f2beaefee3809dffb6
010,2,45626,48384,432534,0,0.33897770900512114,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-010-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,0db480c54ffebf5f28163ef76fcb5ad3eac39a0aa315e3a06d022b9bd8626d7c
010,3,30856,48384,432534,0,0.6275255840155296,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-010-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,26ce754a4f3e9ce001f458958922177826ff0dd22317fff9a0874e7274cf50ba
010,4,24864,309772,693922,0,0.6269158340292051,0.3435372909880243,False,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-010-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,4a111c3aa21d78d9c725a916979fa793af32606f9a65ae46d667f7be973f3667
010,5,29434,1052804,1436954,0,0.3413843340240419,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-010-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,d56e9f4280b082ab1a7df66ba64f4ebfbec133d3953a7fc938c969ac90b5677b
011,1,184697,0,606208,0,0.34551041695522144,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-011-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,5ba0a3c9f79e9a7ee3993fc7896681f413ef08e65a6fb2ac3d22187536e5401e
011,2,92646,180224,786432,0,0.34575662499992177,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-011-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,bc5bcb4347ebce51151f6d7c5ac15af574ad54be5143a7779fdef769700e3d46
011,3,69625,540672,1146880,0,0.6571870410116389,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-011-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,75f1fca34cae8b00d6405986c058675471b7c4662510a5e6c51f9a64c6f45d9a
011,4,46880,540672,1146880,0,0.35190654202597216,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-011-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,5b8d5fb617617dcbebac4c2f2e6228a026709b571dadda82b72a2eac8edc7468
011,5,46880,540672,1146880,0,0.3446692500147037,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-011-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,eb23d068a527f827367343c9007d70db55b9925e0f87ae5aa999a8a2ab3672b0
012,1,59088,0,554898,0,0.3407684160047211,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-012-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,94462d35c6cee76d694026d4ca9ec9028c3b573e1d15d55143f9e6f15dac11ac
012,2,30094,28800,583698,0,0.3418149169883691,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-012-k2,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,c01fffce3898209f0e70514b9fe27c46fa9c7a2144d589e97f8913d57297f53c
012,3,21894,20160,575058,0,0.34645112499129027,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-012-k3,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,29561bf4c10601c39c5943e53d2d1b536d173acdbed4629210408c2daa3892bc
012,4,17253,39168,594066,0,0.34718708402942866,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-012-k4,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,9949543f4eba7aa5dace96b7c3976812501d2fbf0ca4ad00970e6584ce15616b
012,5,14300,49536,604434,0,0.6282706670463085,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-012-k5,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,0976087db9ef8e0c6524a38ad65d107ce9829ee1b8c464d165f88906488993ab
013,1,263949,0,2527232,0,0.3504785409895703,,True,macOS-27.0-arm64-arm-64bit,,4,Fresh solver child; online E1 included; OS cache not flushed,20260925T1525Z-s6607-branch-full500-p1-013-k1,1,20260925T1525Z-s6607-branch-full500,834d8c957538ee069c66aadac9509552a4cc69d7,17917852cfdca3e1b33826eafa91b2d14bea1bddfb47268d05fdfa0f93c16063
