case,cores,status,makespan_cycles,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,spill_bytes,base_selected,attempt_id,run_id,reused
018,2,ok,504468,1004367,812767,1.9909429339422917,1.6111368808328774,0.07042720800382085,1.1532287090085447,3253248,1953792,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-018-k2-r0,20260924T1459Z-bounded400,False
018,3,ok,339838,1004367,753812,2.9554287631165437,2.2181510013594714,0.07707150001078844,1.1318631249887403,4075904,1601536,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-018-k3-r0,20260924T1459Z-bounded400,False
018,4,ok,258063,1004367,706031,3.8919449901768175,2.735886198331415,0.13709770800778642,1.043597415991826,4914944,1159168,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-018-k4-r0,20260924T1439Z-boundedfull4-99,True
018,5,ok,205917,1004367,709686,4.8775331808447095,3.4464662946721254,0.07770666701253504,0.9451544579933397,5320704,638976,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-018-k5-r0,20260924T1459Z-bounded400,False
019,1,ok,81144,81144,73284,1.0,0.9031351671103224,0.04177204202278517,0.13136941599077545,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-019-k1-r0,20260924T1459Z-bounded400,False
019,2,ok,43224,81144,73284,1.8772903942254304,1.695446973903387,0.07296170899644494,0.12941512500401586,27168,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-019-k2-r0,20260924T1459Z-bounded400,False
019,3,ok,28986,81144,73284,2.7994204098530324,2.5282550196646656,0.038966791005805135,0.13104341700091027,27168,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-019-k3-r0,20260924T1459Z-bounded400,False
019,4,ok,24099,81144,73284,3.3671106684924688,3.040956056267895,0.040323207998881117,0.1285485829866957,51744,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-019-k4-r0,20260924T1439Z-boundedfull4-99,True
019,5,ok,24169,81144,73284,3.357358599859324,3.0321486201332286,0.041181790991686285,0.1303192079940345,81504,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-019-k5-r0,20260924T1459Z-bounded400,False
020,1,ok,534174,532746,1078404,0.9973267137674241,2.01882532657898,0.18271875000209548,0.8783517080009915,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-020-k1-r0,20260924T1459Z-bounded400,False
020,2,ok,266580,532746,1078404,1.9984469952734638,4.045329732162953,0.13358937500743195,2.380401166010415,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-020-k2-r0,20260924T1459Z-bounded400,False
020,3,ok,177950,532746,1078404,2.993796010115201,6.060151728013487,0.12649950000923127,1.609450249990914,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-020-k3-r0,20260924T1459Z-bounded400,False
020,4,ok,133704,532746,1078404,3.984518039849219,8.065607610841859,0.1297375840076711,1.151411041006213,0,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-020-k4-r0,20260924T1439Z-boundedfull4-99,True
020,5,ok,107650,532746,1078404,4.948871342313051,10.017686948444032,0.1260703750012908,1.1624583329830784,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-020-k5-r0,20260924T1459Z-bounded400,False
021,1,ok,6567937,6567937,6720004,1.0,1.0231529321916455,0.07786579200183041,2.6068752499995753,4501504,4501504,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-021-k1-r0,20260924T1459Z-bounded400,False
021,2,ok,3194570,6567937,5175821,2.0559690349561914,1.6201933280535408,0.12495554197812453,1.3115260000049602,3174400,1638400,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-021-k2-r0,20260924T1459Z-bounded400,False
021,3,ok,2144024,6567937,4977439,3.063369160046716,2.3215407103651824,0.12620100000640377,2.494914833980147,7766016,3055616,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-021-k3-r0,20260924T1459Z-bounded400,False
021,4,ok,1550324,6567937,4782086,4.236493145948847,3.084571999143405,0.07674437499372289,0.714132166991476,4608000,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-021-k4-r0,20260924T1439Z-boundedfull4-99,True
021,5,ok,1250168,6567937,4778990,5.253643510312214,3.822678232045613,0.0739577499916777,2.4509462090209126,11431936,2011136,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-021-k5-r0,20260924T1459Z-bounded400,False
022,1,ok,56780,56780,62791,1.0,1.1058647411060232,0.077339583018329,0.24302154098404571,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-022-k1-r0,20260924T1459Z-bounded400,False
022,2,ok,28415,56780,62791,1.9982403660038712,2.2097835650184763,0.07573287500417791,0.23815020799520425,6912,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-022-k2-r0,20260924T1459Z-bounded400,False
022,3,ok,19197,56780,62791,2.9577538157003698,3.270875657654842,0.07734295900445431,0.24016645801020786,13824,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-022-k3-r0,20260924T1459Z-bounded400,False
022,4,ok,14654,56780,62791,3.874709976798144,4.284905145352805,0.04100766699411906,0.23811799997929484,13824,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-022-k4-r0,20260924T1439Z-boundedfull4-99,True
022,5,ok,11828,56780,62791,4.800473452823808,5.308674332093338,0.0745345419854857,0.2356001249863766,20736,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-022-k5-r0,20260924T1459Z-bounded400,False
