case_id,cores,B,U,L0,L_plus,graph_sha256
042,2,1686740,802691,799538,799612,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
042,3,1686740,537423,533026,533100,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
042,4,1686740,406557,399769,399843,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
042,5,1686740,328641,319816,319890,c098a559bbb2f888a39d47b81fee2e93ae04365d4ce377982758cd3373ac33c5
043,1,677656,531018,517752,517819,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
043,2,677656,268825,258876,258943,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
043,3,677656,185674,172584,172651,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
043,4,677656,148186,129438,129505,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
043,5,677656,126836,103551,103618,23270b8e711405157c6b29fd36a4a182bdccf090b2beb69f63d9580aa22e780c
044,1,154407,78142,74404,74448,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
044,2,154407,56468,37202,37246,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
044,3,154407,57715,24802,24846,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
044,4,154407,40927,18601,18645,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
044,5,154407,41205,14881,14925,9abd4468a4be365e384de47431ac914ee44fd6e7b6221dffc584561f388cd57e
045,1,125614,125614,125476,125476,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
045,2,125614,63059,62738,62776,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
045,3,125614,43001,41826,41876,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
045,4,125614,32149,31369,31388,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
045,5,125614,27620,25096,25156,64dff8e23ba176573a054ef2dc00a23a3487484bad65cb719acc4f087d611793
046,1,276455,216019,209248,209388,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
046,2,276455,108498,104624,104764,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
046,3,276455,82060,69750,69890,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
046,4,276455,79330,52312,52452,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
046,5,276455,83050,41850,41990,1917fbb2bfe1141fd8dc4bdac6119dd44014df9a13eb18faa3e55f25bcc91659
047,1,326508,275355,259370,259370,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
047,2,326508,142245,129685,129753,7c6328650b8e50e4d15a0ddf1ad0715a40d64d51f3c86c2c3b9c22e4cbb6a83f
