case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
015,P1,1,official_singlecore_baseline,ok,177362,177362,1.0,,,"{""original_graph_copy_bytes"": 884614, ""scheduled_copy_bytes"": 1064870, ""added_copy_bytes"": 180256, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 180256}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/015/e0/result.json.gz
015,P1,2,q1_search_32_seed0,ok,88103,177362,2.0131210060951386,32.101717599998665,0.8279999999995198,"{""original_graph_copy_bytes"":884614,""scheduled_copy_bytes"":1136534,""added_copy_bytes"":251920,""partition_added_copy_bytes"":251920,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/015/k2/search/e0_best/result.json.gz
015,P1,3,q1_search_32_seed0,ok,57816,177362,3.0676975231769754,31.149071099998764,0.7810000000008586,"{""original_graph_copy_bytes"":884614,""scheduled_copy_bytes"":1138822,""added_copy_bytes"":254208,""partition_added_copy_bytes"":254208,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/015/k3/search/e0_best/result.json.gz
015,P1,4,q1_search_32_seed0,ok,48244,177362,3.676353536191029,31.02420920000077,0.875,"{""original_graph_copy_bytes"":884614,""scheduled_copy_bytes"":1239430,""added_copy_bytes"":354816,""partition_added_copy_bytes"":354816,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/015/k4/search/e0_best/result.json.gz
015,P1,5,q1_search_32_seed0,ok,43069,177362,4.118089577190091,31.481739599999855,0.8909999999996217,"{""original_graph_copy_bytes"":884614,""scheduled_copy_bytes"":1234822,""added_copy_bytes"":350208,""partition_added_copy_bytes"":350208,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/015/k5/search/e0_best/result.json.gz
016,P1,1,official_singlecore_baseline,timeout,,,,,,null,,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/016/e0/result.json.gz
016,P1,2,q1_search_32_seed0,error,,,,43.76453460000084,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
016,P1,3,q1_search_32_seed0,error,,,,43.84681300000011,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
016,P1,4,q1_search_32_seed0,error,,,,44.053335500000685,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
016,P1,5,q1_search_32_seed0,error,,,,44.321906499999386,,,,,,RuntimeError: P1 exact incumbent was not confirmed by official E0,4dff90ef699fd51845cf482951e8477066f5f566,
017,P1,1,official_singlecore_baseline,ok,162810,162810,1.0,,,"{""original_graph_copy_bytes"": 643862, ""scheduled_copy_bytes"": 666390, ""added_copy_bytes"": 22528, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 22528}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/017/e0/result.json.gz
017,P1,2,q1_search_32_seed0,ok,80129,162810,2.031848644061451,29.361841499998263,0.8900000000012369,"{""original_graph_copy_bytes"":643862,""scheduled_copy_bytes"":742938,""added_copy_bytes"":99076,""partition_added_copy_bytes"":99076,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/017/k2/search/e0_best/result.json.gz
017,P1,3,q1_search_32_seed0,ok,56858,162810,2.86344929473425,32.2269213999989,1.1089999999985594,"{""original_graph_copy_bytes"":643862,""scheduled_copy_bytes"":866090,""added_copy_bytes"":222228,""partition_added_copy_bytes"":222228,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/017/k3/search/e0_best/result.json.gz
017,P1,4,q1_search_32_seed0,ok,42586,162810,3.823087399614897,31.627514699999665,1.0940000000009604,"{""original_graph_copy_bytes"":643862,""scheduled_copy_bytes"":897302,""added_copy_bytes"":253440,""partition_added_copy_bytes"":253440,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/017/k4/search/e0_best/result.json.gz
017,P1,5,q1_search_32_seed0,ok,36456,162810,4.465931533903884,31.00453529999868,1.1869999999998981,"{""original_graph_copy_bytes"":643862,""scheduled_copy_bytes"":983702,""added_copy_bytes"":339840,""partition_added_copy_bytes"":339840,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/017/k5/search/e0_best/result.json.gz
018,P1,1,official_singlecore_baseline,ok,1004367,1004367,1.0,,,"{""original_graph_copy_bytes"": 1592848, ""scheduled_copy_bytes"": 3563024, ""added_copy_bytes"": 1970176, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 1970176}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/018/e0/result.json.gz
018,P1,2,q1_search_32_seed0,ok,503946,1004367,1.99300520293841,47.8272407000004,1.9059999999990396,"{""original_graph_copy_bytes"":1592848,""scheduled_copy_bytes"":9187088,""added_copy_bytes"":7594240,""partition_added_copy_bytes"":7594240,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/018/k2/search/e0_best/result.json.gz
018,P1,3,q1_search_32_seed0,ok,338232,1004367,2.969461789540907,49.29728369999975,2.125,"{""original_graph_copy_bytes"":1592848,""scheduled_copy_bytes"":10034064,""added_copy_bytes"":8441216,""partition_added_copy_bytes"":8441216,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/018/k3/search/e0_best/result.json.gz
018,P1,4,q1_search_32_seed0,ok,254786,1004367,3.942002307819111,50.639573599999494,2.389999999999418,"{""original_graph_copy_bytes"":1592848,""scheduled_copy_bytes"":10115988,""added_copy_bytes"":8523140,""partition_added_copy_bytes"":8523140,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/018/k4/search/e0_best/result.json.gz
