case_id,status,singlecore_cycles,bounded_cycles,overload_cycles,bounded_speedup,overload_speedup,delta_speedup,comparison,bounded_extra_ddr_bytes,overload_extra_ddr_bytes,bounded_spill_bytes,overload_spill_bytes,bounded_task_count,overload_task_count,plan_bytes_equal,selected,bounded_solver_wall_seconds,overload_solver_wall_seconds,bounded_attempt_id,overload_attempt_id,delta_common94_mean,delta_full100_known_contribution
058,ok,4539717,1004819,1004819,4.517945022934478,4.517945022934478,0.0,tie,32104448,32104448,13721600,13721600,5,5,True,heavy-suffix-fallback,0.34933100000489503,0.5603366669965908,nikolastarx-20260924T1459Z-bounded400-P1-058-k5-r0,nikolastarx-s59ee-p1-overload-058-k5-r0,0.0,0.0
059,ok,829473,150782,150782,5.501140719714555,5.501140719714555,0.0,tie,4325376,4325376,0,0,5,5,True,heavy-suffix-fallback,0.0746122499986086,0.2850212079938501,nikolastarx-20260924T1459Z-bounded400-P1-059-k5-r0,nikolastarx-s59ee-p1-overload-059-k5-r0,0.0,0.0
060,ok,888789,183430,183430,4.845385160551709,4.845385160551709,0.0,tie,3628416,3628416,187392,187392,5,5,True,heavy-suffix-fallback,0.12752758400165476,0.28583591600181535,nikolastarx-20260924T1459Z-bounded400-P1-060-k5-r0,nikolastarx-s59ee-p1-overload-060-k5-r0,0.0,0.0
061,ok,77191,22283,22283,3.46412063007674,3.46412063007674,0.0,tie,83712,83712,0,0,5,5,True,heavy-suffix-fallback,0.07722433397429995,0.2852115830173716,nikolastarx-20260924T1459Z-bounded400-P1-061-k5-r0,nikolastarx-s59ee-p1-overload-061-k5-r0,0.0,0.0
062,ok,2854809,589173,589173,4.845451166295808,4.845451166295808,0.0,tie,107520,107520,0,0,6,6,True,heavy-suffix-fallback,0.706052167020971,0.8444056670123246,nikolastarx-20260924T1459Z-bounded400-P1-062-k5-r0,nikolastarx-s59ee-p1-overload-062-k5-r0,0.0,0.0
063,ok,1070397,233223,233223,4.589585932776784,4.589585932776784,0.0,tie,79872,79872,0,0,6,6,True,heavy-suffix-fallback,0.2281387909897603,0.283186749991728,nikolastarx-20260924T1459Z-bounded400-P1-063-k5-r0,nikolastarx-s59ee-p1-overload-063-k5-r0,0.0,0.0
064,ok,19116,19116,13028,1.0,1.4673011974209396,0.4673011974209395,win,0,110346,0,0,1,33,False,heavy-suffix-fallback,0.07656979098101147,0.28497829198022373,nikolastarx-20260924T1459Z-bounded400-P1-064-k5-r0,nikolastarx-s59ee-p1-overload-064-k5-r0,0.004971289334265314,0.004673011974209395
065,ok,53068,12169,12169,4.3609170843947735,4.3609170843947735,0.0,tie,55584,55584,0,0,5,5,True,heavy-suffix-fallback,0.07624470800510608,0.2845348330156412,nikolastarx-20260924T1459Z-bounded400-P1-065-k5-r0,nikolastarx-s59ee-p1-overload-065-k5-r0,0.0,0.0
066,ok,359070,250449,99777,1.4337050657019992,3.5987251571003336,2.1650200913983344,win,29280,2410142,0,0,5,73,False,overload-list,0.12545683400821872,0.17960000000311993,nikolastarx-20260924T1459Z-bounded400-P1-066-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-066-k5-r0,0.023032128631897176,0.021650200913983345
067,ok,63834834,15931687,15931687,4.006784341168641,4.006784341168641,0.0,tie,262750080,262750080,247863680,247863680,5,5,True,heavy-suffix-fallback,0.17916137498104945,0.28309658300713636,nikolastarx-20260924T1459Z-bounded400-P1-067-k5-r0,nikolastarx-s59ee-p1-overload-067-k5-r0,0.0,0.0
068,ok,362095,304058,133424,1.1908747673141309,2.7138670703921335,1.5229923030780026,win,1944,2939810,0,0,5,65,False,overload-list,0.1339015410048887,0.29322354099713266,nikolastarx-20260924T1459Z-bounded400-P1-068-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-068-k5-r0,0.01620204577742556,0.015229923030780025
