case_id,cores,full_contiguous_cycles,singlecore_cycles,speedup_B_over_M,speedup_over_k,known_reported_envelope_cycles,envelope_source,contiguous_over_known_envelope,extra_ddr_bytes,spill_bytes,eligible_ops,weak_components,max_component_ops,largest_component_fraction,homogeneous_word_guard,structure_class
014,2,11807454,17698626,1.4989366886375335,0.7494683443187667,11807454,contiguous-full500,1.0,71715744,64101792,35705,1340,124,0.0034729029547682397,False,multiple-components
045,2,82849,125614,1.5161800383830826,0.7580900191915413,82849,contiguous-full500,1.0,20480,0,1651,68,28,0.016959418534221685,False,multiple-components
090,2,768767,1178363,1.5327960227220991,0.7663980113610496,768767,contiguous-full500,1.0,20994384,18833616,1664,13,128,0.07692307692307693,False,multiple-components
034,2,543391,842996,1.551361726638829,0.7756808633194145,543391,contiguous-full500,1.0,524556,0,3745,155,94,0.025100133511348464,False,multiple-components
052,2,112782,180301,1.5986682271993757,0.7993341135996879,112782,contiguous-full500,1.0,142984,0,1008,52,120,0.11904761904761904,False,multiple-components
053,2,912062,1472686,1.6146775109586848,0.8073387554793424,912062,contiguous-full500,1.0,5913656,4942336,11670,39,9853,0.8443016281062553,False,dominant-component
096,2,52076,84194,1.6167524387433752,0.8083762193716876,52076,contiguous-full500,1.0,4188,0,1198,50,397,0.3313856427378965,False,multiple-components
083,2,641438,1057993,1.6494080487903742,0.8247040243951871,641438,contiguous-full500,1.0,14062144,13098976,3844,31,124,0.03225806451612903,False,multiple-components
046,2,166578,276455,1.6596129140702853,0.8298064570351427,166578,contiguous-full500,1.0,3521632,2591232,992,8,124,0.125,False,multiple-components
019,2,48824,81144,1.6619695231853187,0.8309847615926593,48824,contiguous-full500,1.0,45092,0,647,31,170,0.26275115919629055,False,multiple-components
073,2,5983278,10081626,1.6849670030374655,0.8424835015187327,5983278,contiguous-full500,1.0,141122048,137384064,4836,39,124,0.02564102564102564,False,multiple-components
092,2,2828252,4815554,1.702660866146298,0.851330433073149,2828252,contiguous-full500,1.0,66389088,65458688,17608,142,124,0.007042253521126761,False,multiple-components
057,2,35012,59726,1.705872272363761,0.8529361361818805,35012,contiguous-full500,1.0,331784,0,865,21,193,0.223121387283237,False,multiple-components
087,2,2315262,3974071,1.716467078023999,0.8582335390119995,2315262,contiguous-full500,1.0,7133204,5428224,27556,196,12693,0.4606256350704021,False,multiple-components
078,2,1260358,2296143,1.8218180866071385,0.9109090433035693,1260358,contiguous-full500,1.0,12535344,10386864,1024,8,128,0.125,False,multiple-components
015,2,97083,177362,1.8269109936858152,0.9134554968429076,97083,contiguous-full500,1.0,210988,180256,1013,46,145,0.14313919052319843,False,multiple-components
029,2,20278,37555,1.8520071012920407,0.9260035506460204,20278,contiguous-full500,1.0,12296,0,861,21,41,0.047619047619047616,False,multiple-components
028,2,23619075,43836040,1.8559592194021146,0.9279796097010573,23619075,contiguous-full500,1.0,277269792,275072160,19584,153,128,0.006535947712418301,False,multiple-components
018,2,532433,1004367,1.8863725576739232,0.9431862788369616,532433,contiguous-full500,1.0,1667192,733184,2727,126,59,0.021635496883021636,False,multiple-components
067,2,33769291,63834834,1.8903220088334103,0.9451610044167051,33769291,contiguous-full500,1.0,264028672,260241536,8804,71,124,0.014084507042253521,False,multiple-components
091,2,4820179,9186769,1.9058978930035586,0.9529489465017793,4820179,contiguous-full500,1.0,45075072,41737344,31554,513,147,0.004658680357482411,False,multiple-components
070,2,61432,117300,1.909428310977992,0.954714155488996,61432,contiguous-full500,1.0,34592,0,1191,38,285,0.23929471032745592,False,multiple-components
076,2,3213634,6185113,1.9246476107733488,0.9623238053866744,3213634,contiguous-full500,1.0,21045272,18892800,32528,809,122,0.003750614854894245,False,multiple-components
039,2,735952,1435262,1.9502114268321846,0.9751057134160923,735952,contiguous-full500,1.0,7954432,6864896,5250,70,75,0.014285714285714285,False,multiple-components
033,2,906390,1774196,1.9574311278809342,0.9787155639404671,906390,contiguous-full500,1.0,5409872,3792384,3465,95,64,0.01847041847041847,False,multiple-components
081,2,77398,151795,1.9612263882787668,0.9806131941393834,77398,contiguous-full500,1.0,12296,0,3485,85,41,0.011764705882352941,False,multiple-components
004,2,199780,392357,1.9639453398738613,0.9819726699369307,199780,contiguous-full500,1.0,138240,0,777,111,7,0.009009009009009009,False,multiple-components
059,2,421538,829473,1.9677300741570154,0.9838650370785077,421538,contiguous-full500,1.0,2072576,1351680,2752,64,43,0.015625,False,multiple-components
097,2,5834394,11491509,1.9696148391760995,0.9848074195880497,5834394,contiguous-full500,1.0,10584064,8880128,6592,64,103,0.015625,False,multiple-components
065,2,26868,53068,1.9751377102873307,0.9875688551436653,26868,contiguous-full500,1.0,32788,0,704,42,61,0.08664772727272728,False,multiple-components
080,2,146880,292138,1.98895697167756,0.99447848583878,146880,contiguous-full500,1.0,667648,286720,1098,18,61,0.05555555555555555,False,multiple-components
007,2,508114,1012562,1.9927850836623278,0.9963925418311639,508114,contiguous-full500,1.0,41472,0,3885,555,7,0.0018018018018018018,False,multiple-components
037,2,105374,210001,1.992910964754114,0.996455482377057,105374,contiguous-full500,1.0,368640,0,780,20,39,0.05,False,multiple-components
011,2,92646,184697,1.9935777043801135,0.9967888521900568,92646,contiguous-full500,1.0,360448,0,688,16,43,0.0625,False,multiple-components
001,2,116868,233110,1.9946435294520313,0.9973217647260156,116868,contiguous-full500,1.0,1152,0,600,200,3,0.005,False,multiple-components
008,2,244266,487605,1.9962049568912579,0.9981024784456289,244266,contiguous-full500,1.0,0,0,864,108,8,0.009259259259259259,True,multiple-components
013,2,132198,263949,1.9966187083011846,0.9983093541505923,132198,contiguous-full500,1.0,8192,0,1968,246,8,0.0040650406504065045,False,multiple-components
084,2,1255706,2507412,1.9968145409833193,0.9984072704916597,1255706,contiguous-full500,1.0,9216,0,8616,1077,8,0.0009285051067780873,True,multiple-components
