case_id,cores,baseline_M,old_M,new_M,old_speedup,new_speedup,speedup_delta,old_solver_wall,new_solver_wall,old_extra_ddr,new_extra_ddr,old_spill,new_spill,old_byte_hit,new_byte_hit,selected_strategy
062,1,2854809,2855025,2855025,0.9999243439199307,0.9999243439199307,0.0,19.674969917017734,16.385728916997323,0,0,0,0,0.0,0.0,balanced_reduction_tree
062,2,2854809,1514152,1514152,1.8854177123564873,1.8854177123564873,0.0,11.774965999997221,13.35892966701067,6144,6144,0,0,0.0,0.0,release_place_forest
062,3,2854809,1006775,1006775,2.835597824737404,2.835597824737404,0.0,10.449772249994567,9.877199709007982,36864,36864,0,0,0.0,0.0,release_place_forest
062,4,2854809,838050,838050,3.4064900662251656,3.4064900662251656,0.0,11.832992166018812,10.501748166017933,30720,30720,0,0,0.0,0.0,release_place_forest
062,5,2854809,588101,588101,4.854283532930568,4.854283532930568,0.0,9.937156915984815,8.536981250013923,64512,64512,0,0,0.0,0.0,release_place_forest
063,1,1070397,1070589,1070589,0.9998206594687598,0.9998206594687598,0.0,3.6639435419929214,3.305984625010751,0,0,0,0,0.0,0.0,balanced_reduction_tree
063,2,1070397,566944,566944,1.8880118671332617,1.8880118671332617,0.0,3.554149667004822,3.2177229590015486,18432,18432,0,0,0.0,0.0,release_place_forest
063,3,1070397,399623,399623,2.678517002274644,2.678517002274644,0.0,3.26027895801235,3.0897136249986943,24576,24576,0,0,0.0,0.0,release_place_forest
063,4,1070397,293826,293826,3.6429621612791245,3.6429621612791245,0.0,3.160814000002574,2.8291783750173636,52224,52224,0,0,0.0,0.0,release_place_forest
063,5,1070397,232381,232381,4.606215654464005,4.606215654464005,0.0,3.033520708006108,2.7610098749864846,55296,55296,0,0,0.0,0.0,release_place_forest
064,1,19116,16128,16128,1.1852678571428572,1.1852678571428572,0.0,0.28055950000998564,0.25788575000478886,0,0,0,0,0.0,0.0,attention_rows_ffn
064,2,19116,10370,10370,1.8433944069431052,1.8433944069431052,0.0,0.31034320799517445,0.2910840420227032,45670,45670,0,0,0.13101706833727547,0.13101706833727547,attention_rows_ffn
064,3,19116,9093,9093,2.1022764764104256,2.1022764764104256,0.0,0.2388215420069173,0.22338779200799763,79178,79178,0,0,0.2505625122285267,0.2505625122285267,attention_rows_ffn
064,4,19116,7016,7016,2.724629418472064,2.724629418472064,0.0,0.24452733297948726,0.2414594580186531,97584,97584,0,0,0.4324549873776888,0.4324549873776888,attention_rows_ffn
064,5,19116,6981,6981,2.738289643317576,2.738289643317576,0.0,0.3189861249993555,0.2747703339846339,93998,93998,0,0,0.40530254709359187,0.40530254709359187,attention_rows_ffn
065,1,53068,48749,32594,1.0885966891628547,1.6281524206909248,0.5395557315280701,0.26106362501741387,0.31422733300132677,0,0,0,0,0.0,0.0,dag_join_gap_list
065,2,53068,24568,18257,2.1600455877564313,2.906720709864709,0.7466751221082779,0.2715105829993263,0.34760720797930844,13968,298058,0,0,0.029838565708602178,0.17540586156791477,dag_join_gap_list
065,3,53068,18111,13480,2.9301529457235933,3.936795252225519,1.0066423065019259,0.2776403339812532,0.3669717919838149,27936,322956,0,0,0.05713309080254902,0.20174976772994735,dag_join_gap_list
065,4,53068,13568,12461,3.91126179245283,4.258727228954338,0.3474654365015075,0.25909487501485273,0.4053532080142759,41904,416048,0,0,0.055218602908460764,0.2218051142743061,dag_join_gap_list
065,5,53068,11270,11270,4.7087843833185445,4.7087843833185445,0.0,0.2498668749758508,0.46207499998854473,55728,55728,0,0,0.07899889716639283,0.07899889716639283,affine_eighth
066,1,359070,282276,282276,1.272052884411002,1.272052884411002,0.0,1.1407978330098558,1.0140735830063932,0,0,0,0,0.0,0.0,attention_rows_ffn
066,2,359070,153626,153626,2.3372996758361215,2.3372996758361215,0.0,1.3548923339985777,1.117580124991946,1511092,1511092,0,0,0.24843044745265797,0.24843044745265797,attention_rows_ffn
066,3,359070,116448,116448,3.083522258862325,3.083522258862325,0.0,0.9488653340085875,0.9588982500135899,2489824,2489824,0,0,0.3541000267294073,0.3541000267294073,attention_rows_ffn
066,4,359070,95284,95284,3.768418622224088,3.768418622224088,0.0,1.0258895000151824,0.9883741250087041,2716626,2716626,0,0,0.30413058243584623,0.30413058243584623,attention_rows_ffn
066,5,359070,87336,87336,4.111363011816433,4.111363011816433,0.0,1.2976033329905476,1.08168570799171,3123506,3123506,0,0,0.378017795674482,0.378017795674482,attention_rows_ffn
067,1,63834834,60434601,60434601,1.0562630172738297,1.0562630172738297,0.0,2.9325853749760427,4.587354916991899,264345728,264345728,264345728,264345728,0.0004452807905195933,0.0004452807905195933,affine_eighth
067,2,63834834,31161080,30302509,2.0485436961748436,2.106585761594857,0.05804206542001333,2.4536174579989165,4.686099499987904,263817216,215756160,260095616,189658112,0.018386366310552085,0.901921599523613,dag_join_gap_list
067,3,63834834,21125400,20191133,3.021710074128774,3.1615280826489527,0.13981800852017878,2.353687999973772,4.6726528750150464,263288704,217019136,255845504,185765888,0.036263525797544445,0.8888570552517475,dag_join_gap_list
067,4,63834834,16094995,15165583,3.9661294706832777,4.2091909028489045,0.2430614321656268,1.9975046670006122,4.959732540999539,262760192,216279168,251595392,185154560,0.05435700312979613,0.8978234302621982,dag_join_gap_list
067,5,63834834,13422709,12237901,4.755734032526519,5.216158718721454,0.46042468619493526,2.034903082996607,5.298425082990434,262231680,219647488,247345280,180084736,0.0322860864389354,0.8755459108045545,dag_join_gap_list
068,1,362095,262159,262159,1.3812037732826261,1.3812037732826261,0.0,1.0462815829960164,0.9770559589960612,646046,646046,646046,646046,0.01879461432781295,0.01879461432781295,attention_rows_ffn
068,2,362095,158693,158693,2.281732653614211,2.281732653614211,0.0,1.3331106250116136,1.0623787500080653,2584450,2584450,37380,37380,0.1416066043379183,0.1416066043379183,attention_rows_ffn
068,3,362095,130435,130435,2.7760570399049334,2.7760570399049334,0.0,0.9804560000193305,0.9853732920018956,3666850,3666850,0,0,0.22190592073138113,0.22190592073138113,attention_rows_ffn
068,4,362095,130800,130800,2.768310397553517,2.768310397553517,0.0,1.0422143749892712,1.0328440000012051,4418320,4418320,0,0,0.22526885107957098,0.22526885107957098,attention_rows_ffn
068,5,362095,120727,120727,2.999287648993183,2.999287648993183,0.0,1.4711430000024848,1.2249978750187438,4523322,4523322,0,0,0.2505986747910632,0.2505986747910632,attention_rows_ffn
069,1,25144,19742,19742,1.2736298247391349,1.2736298247391349,0.0,0.2947946669883095,0.24992783399648033,0,0,0,0,0.0,0.0,attention_rows_ffn
069,2,25144,11398,11398,2.2060010528162834,2.2060010528162834,0.0,0.30891141601023264,0.27000270801363513,205926,205926,0,0,0.2193185657062883,0.2193185657062883,attention_rows_ffn
