case,cores,status,selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops
071,4,not_run,,,,,,,,18919,21586,,,nikolastarx-20260924T1427Z-treefull4-99-P1-071-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
072,4,not_run,,,,,,,,23897828,11916637,,,nikolastarx-20260924T1427Z-treefull4-99-P1-072-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
073,4,not_run,,,,,,,,10081626,9487920,,,nikolastarx-20260924T1427Z-treefull4-99-P1-073-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
074,4,not_run,,,,,,,,1682239,1274993,,,nikolastarx-20260924T1427Z-treefull4-99-P1-074-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
075,4,not_run,,,,,,,,1441809,1517797,,,nikolastarx-20260924T1427Z-treefull4-99-P1-075-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
076,4,not_run,,,,,,,,6185113,4482506,,,nikolastarx-20260924T1427Z-treefull4-99-P1-076-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
077,4,not_run,,,,,,,,495320,534378,,,nikolastarx-20260924T1427Z-treefull4-99-P1-077-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
078,4,not_run,,,,,,,,2296143,2196481,,,nikolastarx-20260924T1427Z-treefull4-99-P1-078-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
079,4,not_run,,,,,,,,31052251,15035942,,,nikolastarx-20260924T1427Z-treefull4-99-P1-079-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
080,4,not_run,,,,,,,,292138,354762,,,nikolastarx-20260924T1427Z-treefull4-99-P1-080-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
081,4,not_run,,,,,,,,151795,169335,,,nikolastarx-20260924T1427Z-treefull4-99-P1-081-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
082,4,not_run,,,,,,,,721041,758437,,,nikolastarx-20260924T1427Z-treefull4-99-P1-082-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
083,4,not_run,,,,,,,,1057993,922605,,,nikolastarx-20260924T1427Z-treefull4-99-P1-083-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
084,4,not_run,,,,,,,,2507412,1776688,,,nikolastarx-20260924T1427Z-treefull4-99-P1-084-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
085,4,not_run,,,,,,,,3187899,3434060,,,nikolastarx-20260924T1427Z-treefull4-99-P1-085-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
086,4,not_run,,,,,,,,118403,150350,,,nikolastarx-20260924T1427Z-treefull4-99-P1-086-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
087,4,not_run,,,,,,,,3974071,3132944,,,nikolastarx-20260924T1427Z-treefull4-99-P1-087-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
088,4,not_run,,,,,,,,243623,254309,,,nikolastarx-20260924T1427Z-treefull4-99-P1-088-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
089,4,not_run,,,,,,,,693092,667699,,,nikolastarx-20260924T1427Z-treefull4-99-P1-089-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
090,4,not_run,,,,,,,,1178363,989503,,,nikolastarx-20260924T1427Z-treefull4-99-P1-090-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
091,4,not_run,,,,,,,,9186769,5285730,,,nikolastarx-20260924T1427Z-treefull4-99-P1-091-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
092,4,not_run,,,,,,,,4815554,4117535,,,nikolastarx-20260924T1427Z-treefull4-99-P1-092-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
093,4,not_run,,,,,,,,74205,84508,,,nikolastarx-20260924T1427Z-treefull4-99-P1-093-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
094,4,not_run,,,,,,,,94892,100704,,,nikolastarx-20260924T1427Z-treefull4-99-P1-094-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
095,4,not_run,,,,,,,,2084853,2022317,,,nikolastarx-20260924T1427Z-treefull4-99-P1-095-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
096,4,not_run,,,,,,,,84194,82054,,,nikolastarx-20260924T1427Z-treefull4-99-P1-096-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
097,4,not_run,,,,,,,,11491509,5532446,,,nikolastarx-20260924T1427Z-treefull4-99-P1-097-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
098,4,not_run,,,,,,,,177430,188015,,,nikolastarx-20260924T1427Z-treefull4-99-P1-098-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
099,4,not_run,,,,,,,,1622999,1225097,,,nikolastarx-20260924T1427Z-treefull4-99-P1-099-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
100,4,not_run,,,,,,,,151223,152874,,,nikolastarx-20260924T1427Z-treefull4-99-P1-100-k4-r0,20260924T1427Z-treefull4-99,False,,,,,,,
