case_id,baseline_cycles,baseline_source_commit,result_path,result_sha256,graph_sha256,config_sha256,official_sha256
050,149690,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/050/result.json.gz,0101698c7011e9da894383ab5219889b473ceb3d6b78599f35a46b339b2912f0,3b6b1abd65fbfbb2a40972bdbd643c43107c4b232512741740ff351c366367aa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
051,607628,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/051/result.json.gz,9c62a3dec13b1628b296c4847691f252e716a475677f807c80b0b06ef5c58c3f,884e8b12ac1f7a9b569958909680e8c2f6055966a59c9f929ffd5cee48aae43b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
052,180301,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/052/result.json.gz,ea99c1e1863e9313ee5a58dd6806470471dfc064ee38d0b11fd40adaebb410fb,6196e8c72258ff26d0ab4dcee50c4f5b39f78142729a2223cfcbd4a9181ab7d0,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
053,1472686,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/053/result.json.gz,49dc5e63a19dcda11b1707e69ad3aa7aca1b9c9b4769ea847c17bbb3335a8d41,f3593af4c9aa960385c5fdfaf8ad98c396f05746d9e1fe6cc731adeae7019dbc,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
054,815051,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/054/result.json.gz,d0deccdfe3e316ecc9e23d94e26332042c1cd08b1e9850e4146833ff2702187a,4c874b67351e0a6d336af3117c1289099c54993581f90de11e8f49fb33bb9828,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
055,118835,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/055/result.json.gz,a90156a3a1fcd367d3af1abbb63de2787054ea654307e9c95ca5fb562c69d423,1121ee10f030be119d0930fe518d63aedd8cf65167627c7f66f1a7ffffd9d134,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
056,277285,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/056/result.json.gz,6843cf02d20c0441a9f310be5c799550121466600d915cfbf37a97806b12bd8e,fda213426382a3810afd172eadc10b9221330b906888537cb13b16369be3369d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
057,59726,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/057/result.json.gz,0aa2303999bc9b3876efafadab8d965a74072b49e0a03c283e60c93f69a18f31,89778038db7db919a13c5885aa555c8ae054a3f43845c73fe346b6123d12a525,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
058,4539717,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/058/result.json.gz,c29308178628d9dda01f7210f2899660817c1593f842eb52d2cd5d18af8fadca,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
059,829473,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/059/result.json.gz,4684469f0f229cb994fb1d5d0e787d4e3bf249bbbc6f5d7d03b1ce0fe045f9d9,50b062952359dc9aa22880856093e8ec7a69c66d358607de49fd5f559ac232e9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
060,888789,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/060/result.json.gz,f5ed34aa8ecac0dfc5d644c2aaa496d6d48dc8b0a6b6ca21cde26fb7edee2ec1,29889cfaea8c831c2620d19191abf871694e61d4850ced26a9710847096c1e96,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
