case_id,official_singlecore_cycles,k1_cycles,k1_speedup,k2_cycles,k2_speedup,k3_cycles,k3_speedup,k4_cycles,k4_speedup,k5_cycles,k5_speedup
075,1441809,1517797,0.9499353339082894,1517797,0.9499353339082894,1517797,0.9499353339082894,1517797,0.9499353339082894,1517797,0.9499353339082894
076,6185113,7568258,0.8172439417366586,5111769,1.2099750595146221,4502697,1.3736462835496148,4482506,1.3798337358611454,4464984,1.385248636949203
077,495320,534378,0.9269094161810554,534378,0.9269094161810554,534378,0.9269094161810554,534378,0.9269094161810554,534378,0.9269094161810554
078,2296143,2196481,1.045373486044268,2196481,1.045373486044268,2196481,1.045373486044268,2196481,1.045373486044268,2196481,1.045373486044268
079,31052251,32266504,0.9623680024337313,19624244,1.5823412611461618,16638893,1.8662450080062418,15035942,2.065201568348694,14601359,2.1266685518793147
080,292138,354762,0.8234760205433502,354762,0.8234760205433502,354762,0.8234760205433502,354762,0.8234760205433502,354762,0.8234760205433502
081,151795,169335,0.8964183423391502,169335,0.8964183423391502,169335,0.8964183423391502,169335,0.8964183423391502,169335,0.8964183423391502
082,721041,758437,0.9506933337904137,758437,0.9506933337904137,758437,0.9506933337904137,758437,0.9506933337904137,758437,0.9506933337904137
083,1057993,922605,1.146745356897047,922605,1.146745356897047,922605,1.146745356897047,922605,1.146745356897047,922605,1.146745356897047
084,2507412,1776688,1.4112843673171653,1776688,1.4112843673171653,1776688,1.4112843673171653,1776688,1.4112843673171653,1776688,1.4112843673171653
085,3187899,3434060,0.9283177929331462,3434060,0.9283177929331462,3434060,0.9283177929331462,3434060,0.9283177929331462,3434060,0.9283177929331462
086,118403,150350,0.7875157964748919,150350,0.7875157964748919,150350,0.7875157964748919,150350,0.7875157964748919,150350,0.7875157964748919
087,3974071,4468171,0.889417840096093,3508124,1.132819421434362,3245065,1.2246506618511495,3132944,1.2684781470718915,3119840,1.2738060285142827
088,243623,254309,0.9579802523701482,254309,0.9579802523701482,254309,0.9579802523701482,254309,0.9579802523701482,254309,0.9579802523701482
089,693092,667699,1.0380306096010328,667699,1.0380306096010328,667699,1.0380306096010328,667699,1.0380306096010328,667699,1.0380306096010328
090,1178363,989503,1.190863494097542,989503,1.190863494097542,989503,1.190863494097542,989503,1.190863494097542,989503,1.190863494097542
091,9186769,10219865,0.8989129504156855,6391850,1.4372629207506433,5403227,1.7002374692012754,5285730,1.7380322112555882,5294852,1.7350379198512065
092,4815554,4117535,1.1695235134613307,4117535,1.1695235134613307,4117535,1.1695235134613307,4117535,1.1695235134613307,4117535,1.1695235134613307
093,74205,84508,0.8780825483977849,84508,0.8780825483977849,84508,0.8780825483977849,84508,0.8780825483977849,84508,0.8780825483977849
094,94892,100704,0.942286304416905,100704,0.942286304416905,100704,0.942286304416905,100704,0.942286304416905,100704,0.942286304416905
095,2084853,2022317,1.0309229463036704,2022317,1.0309229463036704,2022317,1.0309229463036704,2022317,1.0309229463036704,2022317,1.0309229463036704
096,84194,82054,1.026080386087211,82054,1.026080386087211,82054,1.026080386087211,82054,1.026080386087211,82054,1.026080386087211
097,11491509,11749293,0.9780596160126401,7114292,1.6152709222505908,5928626,1.9383089774932674,5532446,2.077111823594844,5329695,2.156128821630506
098,177430,188015,0.9437013004281574,188015,0.9437013004281574,188015,0.9437013004281574,188015,0.9437013004281574,188015,0.9437013004281574
