batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,022,2,ok,29214.0,,1.9435886903539399,17.98,,227510.0,13824.0,,,,q1-propose-e0,703fed17 (feed 638c565a),22
A-farmer-q1-v3,P1,022,3,ok,19463.0,,2.9173303190669477,18.28,,234422.0,20736.0,,,,q1-propose-e0,703fed17 (feed 638c565a),22
A-farmer-q1-v3,P1,022,4,ok,14775.0,,3.842978003384095,18.45,,241334.0,27648.0,,,,q1-propose-e0,703fed17 (feed 638c565a),22
A-farmer-q1-v3,P1,022,5,ok,11883.0,,4.778254649499285,18.99,,241334.0,27648.0,,,,q1-propose-e0,703fed17 (feed 638c565a),22
A-farmer-q1-v3,P1,022,1,ok,56780.0,,1.0,,0.491,,,,,,official-singlecore,703fed17 (feed 638c565a),22
A-farmer-q1-v3,P1,023,2,ok,63167.0,,1.9411084901926638,15.32,,724436.0,280992.0,,,,q1-propose-e0,703fed17 (feed 638c565a),23
A-farmer-q1-v3,P1,023,3,ok,42055.0,,2.9155629532754728,15.81,,650708.0,207264.0,,,,q1-propose-e0,703fed17 (feed 638c565a),23
A-farmer-q1-v3,P1,023,4,ok,31752.0,,3.861615016376921,16.42,,798452.0,355008.0,,,,q1-propose-e0,703fed17 (feed 638c565a),23
A-farmer-q1-v3,P1,023,5,ok,24729.0,,4.9583080593635005,16.59,,798740.0,355296.0,,,,q1-propose-e0,703fed17 (feed 638c565a),23
A-farmer-q1-v3,P1,023,1,ok,122614.0,,1.0,,0.43,,,,,,official-singlecore,703fed17 (feed 638c565a),23
A-farmer-q1-v3,P1,024,2,ok,1862654.0,,1.3718828080792247,60.48,,39726306.0,39333088.0,,,,q1-propose-e0,703fed17 (feed 638c565a),24
A-farmer-q1-v3,P1,024,3,ok,1579962.0,,1.617344594363662,60.69,,39726306.0,39333088.0,,,,q1-propose-e0,703fed17 (feed 638c565a),24
A-farmer-q1-v3,P1,024,4,ok,1433619.0,,1.7824421969853914,64.74,,39789418.0,39396200.0,,,,q1-propose-e0,703fed17 (feed 638c565a),24
A-farmer-q1-v3,P1,024,5,ok,1345130.0,,1.8996996572821958,63.23,,39726306.0,39333088.0,,,,q1-propose-e0,703fed17 (feed 638c565a),24
A-farmer-q1-v3,P1,024,1,ok,2555343.0,,1.0,,5.173,,,,,,official-singlecore,703fed17 (feed 638c565a),24
A-farmer-q1-v3,P1,025,2,ok,4444491.0,,,180.57,,118385664.0,110168064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),25
A-farmer-q1-v3,P1,025,3,ok,4285375.0,,,174.93,,118385664.0,110168064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),25
A-farmer-q1-v3,P1,025,4,ok,4245079.0,,,183.29,,118385664.0,110168064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),25
A-farmer-q1-v3,P1,025,5,ok,4154302.0,,,259.31,,118385664.0,110168064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),25
A-farmer-q1-v3,P1,025,1,timeout,,,,,,,,,,,official-singlecore,703fed17 (feed 638c565a),25
A-farmer-q1-v3,P1,026,2,ok,53367.0,,1.8588828302134277,12.41,,624518.0,95664.0,,,,q1-propose-e0,703fed17 (feed 638c565a),26
A-farmer-q1-v3,P1,026,3,ok,41647.0,,2.3819963022546644,12.52,,746726.0,217872.0,,,,q1-propose-e0,703fed17 (feed 638c565a),26
A-farmer-q1-v3,P1,026,4,ok,41518.0,,2.3893973698155015,12.65,,640310.0,111456.0,,,,q1-propose-e0,703fed17 (feed 638c565a),26
