kind,stage,case_id,cores,attempt_id,bound_cycles,e0_cycles,margin_cycles,u_over_l,bound_le_e0,artifact_commit,result_sha256
official_singlecore,existing,040,1,official-singlecore-20260924-040,185751,253454,67703,1.364482559986218,True,f16746ff2ab112ae8e802711e90d74829c419eb9,b2df4357e74547401079de3ee1798601ad868b4cc7f6201785932a05e56f3836
official_singlecore,existing,041,1,official-singlecore-20260924-041,5895240,6003957,108717,1.0184414883872412,True,f16746ff2ab112ae8e802711e90d74829c419eb9,7773f09663e0b7b7c002e6bc3a3de5b62066e68be164eb63d166e1a5a78abdb1
official_singlecore,existing,042,1,official-singlecore-20260924-042,1599076,1686740,87664,1.0548216595083661,True,f16746ff2ab112ae8e802711e90d74829c419eb9,5f5a5ec562c5182f4808167006154bb253b60e186aecd424e35a46c07810639c
official_singlecore,existing,043,1,official-singlecore-20260924-043,517752,677656,159904,1.3088428436780544,True,f16746ff2ab112ae8e802711e90d74829c419eb9,a5c02eaee725ae66596ff383f4aac6ac9abe463a51153e8e0724b753e531c6de
official_singlecore,existing,044,1,official-singlecore-20260924-044,74404,154407,80003,2.075251330573625,True,f16746ff2ab112ae8e802711e90d74829c419eb9,73f1d15fdea4f706b22099d2339a0e74a76c4114a68672077a98a8e15faa913c
official_singlecore,existing,045,1,official-singlecore-20260924-045,125476,125614,138,1.001099811916223,True,f16746ff2ab112ae8e802711e90d74829c419eb9,d7191930aeeff0d9833c8c8dae19189ccb932ec95975cb53ceb8e4af42a5a9bf
official_singlecore,existing,046,1,official-singlecore-20260924-046,209248,276455,67207,1.321183476066677,True,f16746ff2ab112ae8e802711e90d74829c419eb9,d34869c92f2f414dfe9c6f1bf715e0c26f4f2438c8f8cb4840868b9199b6997f
official_singlecore,existing,047,1,official-singlecore-20260924-047,259370,326508,67138,1.2588502910899486,True,f16746ff2ab112ae8e802711e90d74829c419eb9,570a60d5927e1e07c82e7d77157af33eee1296a339ccaa2d2bba19bd60a4b310
official_singlecore,existing,048,1,official-singlecore-20260924-048,139536,222220,82684,1.5925639261552573,True,f16746ff2ab112ae8e802711e90d74829c419eb9,7a2592e8a0ef214f44e7ca0ceccfc779491b693a8f454ba2dbf183e6b7ac01fa
official_singlecore,existing,049,1,official-singlecore-20260924-049,165715,196276,30561,1.1844190326765833,True,f16746ff2ab112ae8e802711e90d74829c419eb9,7042c3d480194b513f6f904d47491b43ee019e6424eb1abe00a047a7a39351e7
official_singlecore,existing,050,1,official-singlecore-20260924-050,133411,149690,16279,1.1220214225213814,True,f16746ff2ab112ae8e802711e90d74829c419eb9,0101698c7011e9da894383ab5219889b473ceb3d6b78599f35a46b339b2912f0
