case,cores,baseline,no_cache,cache,plan_no,plan_cache,config_shared_no,config_shared_cache,hit_bytes,miss_bytes,cache_gain,hit_rate,graph_sha256,no_result_sha256,cache_result_sha256
007,1,1012562,979262,979262,89971b78ef1fd4cc6d0055e312fa762a47a73c13c559b78a02db5b08ff638375,89971b78ef1fd4cc6d0055e312fa762a47a73c13c559b78a02db5b08ff638375,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,880128,1.0,0.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,87683ddc4c9719898d8c7495439146078ec7392777af9a77a077e70150a77572,26cb32d74af6a5f4484af361ee991980631ac65d36dff978fb0ebfea18636c14
007,2,1012562,490466,490466,a798d625b472ece4af73b88c924f00e707af0cd0bd4da0131bb53ca32d19e76f,a798d625b472ece4af73b88c924f00e707af0cd0bd4da0131bb53ca32d19e76f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,164352,6200832,1.0,0.02582046332046332,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,332396dfc42d237717ba796bbb21d68a50ba181a42fdba771244b80d3136c1bc,4c8ba2877d360edb5b69613c3d97b3ec661988f87aea3a6a343df8c2766c2f52
007,3,1012562,326994,326994,704d7fedb299e3ec2388eb8ceb319a7bb52056d21003abd1a03a877a8804d3ec,704d7fedb299e3ec2388eb8ceb319a7bb52056d21003abd1a03a877a8804d3ec,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,935424,1.0,0.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,81cf7a454ee376c09cd0b80ddf2a6f8951937559c78ffa28338b79f90ba2cecc,2dc9558550dae29e468fb3be30a06efc658cb473d4648d18c3a402fd019e8158
007,4,1012562,246030,246030,b459e0f8f2a446df943dab333641807abf55788584d29f13dbf073061c8ad687,b459e0f8f2a446df943dab333641807abf55788584d29f13dbf073061c8ad687,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,963072,1.0,0.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,5139a25d99f3aadc09968dfbdb182a4ad60bd59161f5676e56bd0c1e8319ac8d,122bcc9af91eb2a5a34421ddeea1b38b001df36a165ea2c1b6f64bcb22ec2f5b
007,5,1012562,196870,196870,39930cb38954f892db54da9ac9fa86f8084fa3e6bd4fa618d5013dba594cb7ba,39930cb38954f892db54da9ac9fa86f8084fa3e6bd4fa618d5013dba594cb7ba,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,990720,1.0,0.0,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,d8206c1e950ba60755329235a9029dd38ba71f59a91e10b52549bec95631ce7f,0423c96eaf6de78a761bca213d8af0aacbc4b8c11b79875ba1198b853c986bed
008,1,487605,250437,250437,9a09ed07495acbe2f73c914661fca756b96e31cffaa3c194bcb86a9f14a05511,9a09ed07495acbe2f73c914661fca756b96e31cffaa3c194bcb86a9f14a05511,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1990872,1.0,0.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,00cedcf60b171d2c591cc796da0ccc58d8a887af25a69f65fab10030cd4b8c19,7575c827113a7bd1cdd67c2a954c8a8042b02b1c55c52f119d36a0289741b638
008,2,487605,125682,125682,e8eca3e27bfd006270404ca5ad96fd790dd8329340926195b0c5aa07016cf631,e8eca3e27bfd006270404ca5ad96fd790dd8329340926195b0c5aa07016cf631,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1990872,1.0,0.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,22760663e2d29209ae63a213b0cafb4ae03e0814d4a70dc4cd0e43fe04c28a24,e6c238d01e4cb39244af7bc8f5503f1f2194ee74b1ecd32e5f30e66cdbfc0c66
008,3,487605,84303,84303,7103c670026f0c68205fbb96908dcd8cb68e3bb8abf81e699977a3a55c746cba,7103c670026f0c68205fbb96908dcd8cb68e3bb8abf81e699977a3a55c746cba,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1990872,1.0,0.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,7d51db9aac9e9e855d1f01a92861759ad3b5ce1a5273e256cd47548448117960,1fcba03ff8369a840325102a0ebd91aa189de913ae198d679428cf89a07ac482
008,4,487605,63768,63768,1935d89ad16a59a52ad62b2e00b4b43f30e783ade40fe481fc6063d905da64ce,1935d89ad16a59a52ad62b2e00b4b43f30e783ade40fe481fc6063d905da64ce,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1990872,1.0,0.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,03038b22eba01d0b4f084f200a81240d7c2f5594d51838da1a70ed0774b19cac,beea10a557a17cd33af3bacbaf43c692bb19c1208c60ce9184a4ef0bf966f2a7
008,5,487605,52291,52291,80e464e565f31fc4f598bfbc623d7d7cec93432825ffda88ad7fb6c7775664b1,80e464e565f31fc4f598bfbc623d7d7cec93432825ffda88ad7fb6c7775664b1,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1990872,1.0,0.0,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,7f177dd5a7e80a91aba933b45818c7e3ecdd63f2bd9347ee241790d95a918ccd,61ba1cd0ded5a43e8639e9504dd929041355685c20e22af0fbf6e9ce83d6eec6
