case,cores,plan_sha256,p2_sha256,p3_sha256,no_l2_makespan,cache_makespan,cache_gain,hit_bytes,miss_bytes,byte_hit_rate,category
014,1,6fa34156ec091d123285ae49276b9d2981280899a2a0fe19ee5f547b0fde203e,066b1ad1d83965002e349c35c7daa1151c9287c733030382032f8bde2e744bda,0aae6ee2f489c6d02e6f825564f3c1a0e2bf25f5061c079b4278996c11e301da,17430036,17418277,1.0006750954758614,6431232,72716760,0.0812557822060729,positive
015,1,3a591fe6e5a60a5a68f50c4296e80d27c563f17c51e16b9194b0f9f2babcc63c,f9c3fb2163a1fd9d62aee6aaaa5b9a97970d1c6051fb7798643c58d6a50f9622,9c501e4dd00dccdff32b12b4350a28e150415712f055f9d1dbe8995dd58a9091,114569,112496,1.0184273218603328,344080,1191716,0.22404017200201068,positive
016,1,c846a337834349207e8de8839d21ecd67b6c51f1d0f22adcfdd4c4f315500892,7006960b541d81d7abd18f7455cf7f5f9b1518ca39d270ece349b097625d04bb,946a0c99a0e9e30b644eafdeb3c542807b8a9f8b63b2f8cc20054091b616fde9,7715523,7715523,1.0,0,393216,0.0,parity
017,1,34679be95da7d48d26e3e0e89dbed94d04642f35ce2aba46d09912ebdcb21852,d627824f4f53d00a291ffc098a34bea62e4bc438df2b00298a51e9838bb88759,40ba4569b7c3dde676591b40663cac78f08df163620dba62e5396be88dd52486,111608,111608,1.0,129024,618134,0.17268636620366776,parity
018,1,95a6ee50f179872df38222e3edc93117a17cc3f262c96d38ca4a02740c7ccabd,3fb2df457824baadfc8ad4d489a382477b8823618efcbbad5c515161aca1e21f,40164bd33b354e9c87180047df0c71047d92e5ded562aa105c2f8640fcc11225,971704,971704,1.0,16384,1866516,0.008701471134951405,parity
019,1,042184a8735f210f52c1bd6c8e8e936a0c4acf12068ba1ea03546c8b175dc821,c5f73d9b89ac81d49c46051165b4dd419857652a8099501cb2bff703ac11b505,07a6c7ae0d233f940654f38dba1db7054a7834af464c958ad5ef59541d5fb356,51676,51676,1.0,0,179252,0.0,parity
020,1,e5a505d72b3c44dca12e2edb8bca83d37cd255db7d3120645d81bb5200ac9058,817d5a078da4744527051a6b6a7d75138af707b21cadab634183890d1194ed4d,5b79280f04670ed92a03fe6e6896f7be87a8bdca66632b7da57260df63f1d16b,532746,532746,1.0,0,1179648,0.0,parity
021,1,2d1bdba853daa3cc5b667dd2d69b43b4eb9dd4087ff53e9fc4b3eb5bfdac6545,acc27be19fa78376ccb2ff530f2b0165f664aca50395402eab5b2c92f04a1105,4c1d30f68b2cae0d0ac4185b95db112f8f66da45927d7e3cb3ea9ba34f25d233,6349969,6349969,1.0,20480,23969792,0.0008536793580331228,parity
022,1,5bf7a1deb7631f93f99362ba064d56053b6df54e7a912baf3a54153a6c2baa09,dfb78d913e1456b84a89d262181d45a98932cb41906b07192ba1d482dacd0cf6,d76633c9293f40ecd8811648a94b577a2b59863b7fb1413a05679aed02f0fc59,55127,55127,1.0,34816,383536,0.08322178452594944,parity
023,1,5404f2f42677a1231dc95b484780665922058372fc6795ad0a99567d1ef1319a,cc7ddfafe73f86eee465db6b55e66ab4b9b045e0dd49944bd3f529bfa25b59b4,fd14118703394080c33e0f76d3f548a4dbb9e927a06d0b7aa250e4ff53ab4e97,78981,78947,1.000430668676454,69632,673742,0.09367021176419944,positive
024,1,f933485e11206d1c3212642345cae59a6b009ca37f33f9f4c97cc276620c65c5,dea8ea1fa1369ad1eb16e31961c3b20c7716963b9f765bc9fb61240f8f478a4c,f77f31d7392da7db352b0f48b4d4e17edcbb92cda753258e3ee63e6ff06d2233,2555343,2555343,1.0,0,393216,0.0,parity
