case,current_speedup,lower_bound,speedup_ceiling,mean_gain_ceiling,cluster,components,giant_ops,giant_dominant_pipe_share,spill_bytes
032,3.9791646663466156,6835,6.063350402340893,0.020841857359942772,other-or-balanced,25,150,0.2797470216208266,0
012,4.132027972027972,9528,6.2015113350125946,0.020694833629846227,other-or-balanced,50,50,0.29461374114472055,0
070,4.3983651430499835,18427,6.365659087208987,0.019672939441590032,other-or-balanced,38,285,0.0,0
048,1.0,76030,2.9227936340918057,0.01922793634091806,single-component-multisink,1,1728,1.0,0
061,3.46412063007674,14362,5.374669266118925,0.01910548636042185,other-or-balanced,40,87,0.27866099417823553,0
039,3.3288307615948565,275896,5.202184881259605,0.018733541196647482,DDR-spill-and-replication,70,75,0.014285714285714285,3670016
077,4.090815239385205,83170,5.955512805097992,0.018646975657127873,other-or-balanced,41,2096,0.1984997809372036,0
028,3.814803453300769,7796148,5.622781917428966,0.018079784641281973,other-or-balanced,153,128,0.006535947712418301,269224992
067,4.006784341168641,11785739,5.416277587684574,0.014094932465159334,other-or-balanced,71,124,0.014084507042253521,247863680
060,4.845385160551709,144149,6.165765978258608,0.013203808177068987,DDR-spill-and-replication,89,127,0.03298937009185929,187392
089,4.701096098540344,118114,5.867991939990179,0.011668958414498354,other-or-balanced,40,128,0.025,0
011,3.905872649988369,37104,4.977819103061664,0.010719464530732954,other-or-balanced,16,43,0.0625,0
027,4.230763861670542,446540,5.293931114793748,0.01063167253123206,other-or-balanced,16,89,0.0625,0
087,4.4835199176870235,718857,5.528319262384591,0.010447993446975676,other-or-balanced,196,8389,0.15101522842639595,6566400
029,4.002451241607162,7567,4.9629972247918595,0.009605459831846979,other-or-balanced,21,41,0.047619047619047616,0
034,4.725737734325948,149958,5.62154736659598,0.008958096322700317,DDR-spill-and-replication,155,94,0.008185167387473971,49152
063,4.589585932776784,196603,5.4444591384668595,0.008548732056900751,single-sink-gates,1,7360,1.0,0
042,4.5485287138111055,319926,5.272281715146628,0.007237530013355222,DDR-spill-and-replication,104,258,0.0,2528256
058,4.517945022934478,872038,5.205870615730048,0.006879255927955698,DDR-spill-and-replication,255,65,0.00392156862745098,13721600
031,4.618905794332703,266959,5.298075734476081,0.0067916994014337725,DDR-spill-and-replication,107,2147,0.04119320310650045,1810944
002,4.756841665607351,48283,5.425201416647681,0.006683597510403301,single-sink-gates,1,1798,1.0,0
062,4.845451166295808,523927,5.4488678766316685,0.0060341671033586055,single-sink-gates,1,19636,1.0,0
004,4.441391879195391,77820,5.041852994088923,0.0060046111489353215,other-or-balanced,111,7,0.009009009009009009,0
074,4.869421367991432,316189,5.32035902577256,0.0045093765778112796,DDR-spill-and-replication,73,107,0.03410863707275564,1273864
022,4.800473452823808,10837,5.239457414413583,0.0043898396158977525,other-or-balanced,32,183,0.13224989368979606,0
033,4.748435651620017,345795,5.130774013505111,0.003823383618850942,other-or-balanced,95,64,0.021762528730843212,1307136
014,4.781269906620222,3445374,5.13692446741631,0.0035565456079608725,DDR-spill-and-replication,1340,65,0.0020271978900422787,14710104
038,4.805921840440669,265060,5.148098543725949,0.0034217670328528004,DDR-spill-and-replication,130,116,0.020169056603773584,1108992
018,4.8775331808447095,194338,5.168145190338483,0.002906120094937732,DDR-spill-and-replication,126,59,0.027731334678581725,638976
093,4.674036281179139,14996,4.948319551880502,0.0027428327070136314,other-or-balanced,69,8,0.014492753623188406,0
