case,cores,method,baseline,makespan,speedup,source_commit,result_sha256
005,2,tensor,95618,71775,1.3321908742598398,178a3673bd238b20772211427b8134b6db35f5af,3bb97cee7767a2c9729f8d865ec5e544fcd5c2578c9b471a98d8a25a83da6d41
006,2,tensor,82837,40976,2.021598008590394,178a3673bd238b20772211427b8134b6db35f5af,ebfbfa53147903ee24803b9759a763f8ded2732e85f923e04e0121dcd6291fd5
007,2,tensor,1012562,746371,1.3566470294263844,178a3673bd238b20772211427b8134b6db35f5af,cd452ec5bb11dddbf48e1a6d4a507de29ef5d51ff26edf119f770d136816d339
008,2,tensor,487605,125682,3.8796725068028834,178a3673bd238b20772211427b8134b6db35f5af,c390300733ed30ab83e32ba7419a83ee09f6a515b30d5088d319c7140bbd7225
009,2,tensor,153261,87233,1.7569153875253631,178a3673bd238b20772211427b8134b6db35f5af,c3e4463a75ffcd3abf7d740c70503565a01b04818528fb5e4e4e13f820de7505
010,2,tensor,86969,46318,1.8776501576061142,178a3673bd238b20772211427b8134b6db35f5af,c0ed3d644d24181a10a02b0928710d471287c39c33e48b2f71c3623662f1ed89
011,2,tensor,184697,92646,1.9935777043801135,178a3673bd238b20772211427b8134b6db35f5af,6d24298977de7e82cdcb87b41fdd42672a3096104a709c065fa4b21922b7562d
012,2,tensor,59088,28536,2.0706476030277545,178a3673bd238b20772211427b8134b6db35f5af,1a10b5e60db16b03f07d76436316cfcadd4cf99d836b087afae815265325d8c3
013,2,tensor,263949,182058,1.4498072042975316,178a3673bd238b20772211427b8134b6db35f5af,159d48d48364ff2602a2fac50d388a7e1da5e1cee1173a3257ee4c4052dcd9a9
014,2,tensor,17698626,8870132,1.9953058195751765,178a3673bd238b20772211427b8134b6db35f5af,b8cc3756876b5460235e5dabf1eaf845c12f9d22993bed6b08b7cd639c0dca6d
015,2,tensor,177362,84229,2.105711809471797,178a3673bd238b20772211427b8134b6db35f5af,e806bbeb4742c1c69c7189e2be560b9fea1269345b21c96a5dc51a73b704d73d
016,2,tensor,7715523,4324381,1.7841913096926474,178a3673bd238b20772211427b8134b6db35f5af,66d0a0013d7ef4e21d8d2422e39407fb2d0c3f7b411a111c6b63d036710cc6ea
