case_id,cores,graph_sha256,B,U,L,window_L,separator_L,current_speedup,speedup_upper,max_makespan_reduction,max_relative_speedup_gain,extra_ddr_bytes,spill_bytes,selected,old_conditional_scalar,old_scalar_certified_by_domination
015,1,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,177362,177362,101497,101497,101497,1.0,1.7474605160743668,0.42774100427374523,0.7474605160743667,180256,180256,bounded,101571,False
015,2,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,177362,92810,50749,50749,50749,1.9110225191250942,3.4948865987507145,0.453194698847107,0.828804508463221,224536,114712,bounded,50823,False
015,3,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,177362,61224,33833,33833,33833,2.896935842153404,5.242278249046788,0.44738991245263293,0.8095941831939231,306448,98320,bounded,33907,False
015,4,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,177362,53474,25375,25375,25375,3.3167894677787335,6.989635467980295,0.5254703220256574,1.1073497536945813,263936,32768,bounded,25449,False
015,5,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253,177362,43411,20300,20300,20300,4.085646495127963,8.73704433497537,0.5323765865794384,1.138472906403941,321536,8192,bounded,20374,False
016,1,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,7715523,7715523,7714975,7714975,7714975,1.0,1.0000710306903133,7.102564531270272e-05,7.103069031331923e-05,0,0,bounded,7715523,False
016,2,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,7715523,4550194,4163970,3857494,4163970,1.6956470427414743,1.8529247328871246,0.08488077651194652,0.09275379025305178,119554128,0,fork-frontier,3858036,True
016,3,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,7715523,3712678,2980403,2571672,2980403,2.0781557140155975,2.588751588291919,0.1972363345272604,0.2456966390115699,119554736,0,fork-frontier,2572207,True
016,4,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,7715523,3241338,2388620,1928760,2388620,2.380351262349067,3.2301173899573814,0.263075927286818,0.35699190327469416,119555344,0,fork-frontier,1929292,True
016,5,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef,7715523,3223183,2033550,1543016,2033550,2.3937589023024755,3.7941152172309507,0.36908639689400197,0.5850030734429937,119555952,0,fork-frontier,1543543,True
017,1,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,162810,162810,110641,110641,110600,1.0,1.4715159841288492,0.32042872059455807,0.47151598412884915,22528,22528,bounded,110660,False
017,2,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,162810,82005,55341,55341,55300,1.9853667459301263,2.9419417791510813,0.32515090543259556,0.48181276088252833,531100,0,shared-input,55360,False
017,3,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,162810,58579,36908,36908,36867,2.7793236484064257,4.411238755825296,0.3699448607862886,0.5871626747588599,175104,0,bounded,36927,False
017,4,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,162810,42384,27691,27691,27650,3.841308040770102,5.879527644360984,0.3466638354095885,0.5306056119316745,259200,0,bounded,27710,False
017,5,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c,162810,35496,22161,22161,22120,4.586713995943205,7.346690131311764,0.3756761325219743,0.6017327737917963,340992,0,bounded,22180,False
018,1,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1004367,1004367,971373,971373,971320,1.0,1.0339663548400049,0.03285054168446395,0.03396635484000482,1970176,1970176,bounded,971394,False
018,2,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1004367,504468,485713,485713,485660,1.9909429339422917,2.067819885405579,0.03717777936360681,0.0386133375058934,3253248,1953792,bounded,485734,False
018,3,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1004367,339838,323827,323827,323774,2.9554287631165437,3.1015542249410952,0.047113624727075844,0.04944306682271707,4075904,1601536,bounded,323848,False
018,4,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1004367,258063,242883,242883,242830,3.8919449901768175,4.135188547572288,0.058822845584217805,0.062499228023369276,4914944,1159168,bounded,242904,False
018,5,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a,1004367,205917,194317,194317,194264,4.8775331808447095,5.168703716092776,0.056333377040263796,0.059696269497779404,5320704,638976,bounded,194338,False
019,1,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,81144,81144,48493,48493,48436,1.0,1.6733136741385355,0.40238341713496995,0.6733136741385355,0,0,bounded,48529,False
019,2,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,81144,43224,24275,24275,24218,1.8772903942254304,3.3426982492276003,0.4383907088654451,0.7805973223480948,27168,0,bounded,24311,False
019,3,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,81144,28986,16203,16203,16146,2.7994204098530324,5.00796148861322,0.4410060028979507,0.788927976300685,27168,0,bounded,16239,False
019,4,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,81144,24099,12234,12234,12109,3.3671106684924688,6.632663070132418,0.4923440806672476,0.9698381559588033,51744,0,bounded,12312,False
019,5,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429,81144,24169,12234,12234,9688,3.357358599859324,6.632663070132418,0.4938143903347263,0.9755599149910087,81504,0,bounded,12312,False
020,1,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,532746,534174,532608,532608,532608,0.9973267137674241,1.0002591023792358,0.0029316290197576073,0.002940248738284066,0,0,bounded,532746,False
020,2,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,532746,266580,266304,266304,266304,1.9984469952734638,2.0005182047584715,0.0010353364843574161,0.0010364095169430425,0,0,bounded,266442,False
020,3,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,532746,177950,177536,177536,177536,2.993796010115201,3.000777307137707,0.002326496206799663,0.0023319214131218456,0,0,bounded,177674,False
020,4,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,532746,133704,133152,133152,133152,3.984518039849219,4.001036409516943,0.0041285227068748875,0.00414563806777217,0,0,bounded,133290,False
020,5,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4,532746,107650,106522,106522,106522,4.948871342313051,5.001276731567188,0.010478402229447284,0.010589361821971049,0,0,bounded,106660,False
021,1,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,6567937,6567937,6192816,6192816,6192000,1.0,1.0605735742834923,0.057113976580469634,0.06057357428349236,4501504,4501504,bounded,6193124,False
021,2,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,6567937,3194570,3096816,3096816,3096000,2.0559690349561914,2.1208676912028355,0.030600049458925613,0.03156596969274248,3174400,1638400,bounded,3097124,False
021,3,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,6567937,2132763,2064816,2064816,2064000,3.0795437655285656,3.1808824611975113,0.031858673467234755,0.03290704837622335,4493312,909312,fork-frontier,2065124,False
021,4,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,6567937,1550324,1548816,1548816,1548000,4.236493145948847,4.240617994648815,0.0009726999001499041,0.0009736469664569581,4608000,0,bounded,1549124,False
021,5,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37,6567937,1250168,1239216,1239216,1238400,5.253643510312214,5.300074401879899,0.008760422599202667,0.00883784586383649,11431936,2011136,bounded,1239524,False
022,1,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,56780,56780,54087,54087,54087,1.0,1.0497901529018063,0.04742867206762945,0.04979015290180635,0,0,bounded,54106,False
022,2,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,56780,28415,27044,27044,27044,1.9982403660038712,2.09954148794557,0.04824916417385184,0.050695163437361336,6912,0,bounded,27063,False
022,3,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,56780,19197,18029,18029,18029,2.9577538157003698,3.149370458705419,0.060842840027087564,0.06478451383881524,13824,0,bounded,18048,False
022,4,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,56780,14654,13522,13522,13522,3.874709976798144,4.19908297589114,0.07724853282380237,0.08371542671202485,13824,0,bounded,13541,False
022,5,b93af0605cda612b707a91a1e9fc76348b527284a03e779b65cbe55813e331e7,56780,11828,10818,10818,10818,4.800473452823808,5.24865964133851,0.08539059857964153,0.09336291366241449,20736,0,bounded,10837,False
023,1,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,122614,122614,69558,69558,69558,1.0,1.762759136260387,0.43270752116397804,0.762759136260387,0,0,bounded,69594,False
023,2,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,122614,61829,34779,34779,34779,1.983114719629947,3.525518272520774,0.43749696744246225,0.7777681934500704,74016,0,bounded,34815,False
023,3,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,122614,41488,23186,23186,23186,2.955408792903972,5.288277408781161,0.44113960663324336,0.789355645648236,196896,0,bounded,23222,False
023,4,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,122614,31518,17390,17390,17390,3.890284916555619,7.05083381253594,0.44825179262643566,0.8124209315698677,281280,0,bounded,17426,False
023,5,73e1a5d3abe5f7b36fb7a386d586e8ed492f7fae5e7a736c475b629ab6e12739,122614,24940,13912,13912,13912,4.91635926222935,8.813542265669925,0.44218123496391337,0.7926969522714203,280992,0,bounded,13948,False
024,1,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,2555343,2555343,2554795,2554795,2554795,1.0,1.000214498619263,0.00021445261947221957,0.0002144986192629937,0,0,bounded,2555343,False
024,2,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,2555343,1506718,1378554,1277404,1378554,1.6959663321205427,1.853640118559012,0.0850617036499199,0.09296988003371649,39327048,0,fork-frontier,1277946,True
024,3,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,2555343,1228774,986507,851612,986507,2.0795874587190157,2.590293834711766,0.1971615610356339,0.24558061929616312,39327248,0,fork-frontier,852147,True
024,4,f974fbf1a23b4a145b5f8c9c691eb1b247f93d8785d98bb46a9cdd8626399aec,2555343,1072818,790484,638715,790484,2.3818979547323034,3.232630894489958,0.26317045388873045,0.3571659894444416,39327448,0,fork-frontier,639247,True
