unit,slot,charged_index,phase,status,makespan,best_so_far,added_copy_bytes,spill_bytes,wall_seconds,timeout_seconds,completed_elapsed,plan,plan_sha256,output
008-M1,11,11,explore,ok,145311,123060,0,0,0.875,120,15.29699999999957,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/proposal-18/plan.json,eee6ae2ebee0620a394772588bebc7ecfda142c740e0cbe2dc497b5f46a58c8f,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-11-explore
008-M1,32,12,final,ok,123060,123060,0,0,0.8589999999994689,105,18.46900000000005,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/baseline/plan.json,03eb9d26abdf010393909da7ca77da4d48ce4f990d276ebd1ed3b4a692d00208,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M1/eval-12-final
008-M2,1,1,initial,ok,123060,123060,0,0,0.48399999999946886,120,1.5470000000004802,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/baseline/plan.json,03eb9d26abdf010393909da7ca77da4d48ce4f990d276ebd1ed3b4a692d00208,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-01-initial
008-M2,2,2,explore,ok,123060,123060,0,0,0.7340000000003783,120,2.875,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-01/plan.json,5d7a9dcd183e1be7723496e15d3c3eb363d923056ae9d995e5e822b4e5ae7bc2,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-02-explore
008-M2,3,3,explore,ok,220442,123060,6260352,6260352,0.6710000000002765,120,4.030999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-02/plan.json,49e973a79855fa39982c4ba62803a544a1dcdbdb636110ee1459b5d6591c85de,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-03-explore
008-M2,4,4,explore,ok,123060,123060,0,0,0.6089999999994689,120,5.578000000000429,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-05/plan.json,f0cb9ac7eaae11f90fb92103498532f9a1e9d18c867bc3b9d5cccbace3336cb7,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-04-explore
008-M2,5,5,explore,ok,123060,123060,0,0,0.75,120,6.844000000000051,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-06/plan.json,c37da1b1572e3bb5fe201962cb05643464377aed5d33d101925e5b39d352797c,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-05-explore
008-M2,6,6,explore,ok,218834,123060,6186240,6186240,0.5320000000001528,120,7.734000000000378,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-07/plan.json,e4eea9b2f76e7f468ea40c934c961dc18e31f5086eb572901af667bec12b7053,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-06-explore
008-M2,7,7,explore,ok,123060,123060,0,0,0.7809999999999491,120,9.5,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-10/plan.json,6060c8a789fde9e4032c03108f29f7ab508149b27bc9167c8067377de0ea65bb,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-07-explore
008-M2,8,8,explore,ok,123060,123060,0,0,0.8119999999998981,120,10.844000000000051,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-11/plan.json,23204d4f4e3798f40cfce89f8bec9fb58ce5147fbb3da37ba95117f1e101229a,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-08-explore
008-M2,9,9,explore,ok,214692,123060,6296448,6296448,0.5309999999999491,120,11.890000000000327,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-12/plan.json,d5f6a5ead97f01caa9b59e7a05be8528fa5806d304038051234ab6f9337afeac,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-09-explore
008-M2,10,10,explore,ok,123060,123060,0,0,0.46900000000005093,120,13.17200000000048,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-15/plan.json,65663b80aa94bbfd7868a2f2063c9faf6a12e837bdb928041685e5e6daefd8cf,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-10-explore
008-M2,11,11,explore,ok,123060,123060,0,0,0.7659999999996217,120,14.390000000000327,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-16/plan.json,5b54a54bb47e3283bd1db3528d208da69d799c4a2f77bc36919e84d04fb8a5cc,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-11-explore
008-M2,12,12,explore,ok,214907,123060,6092928,6092928,0.6559999999999491,120,15.655999999999949,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-17/plan.json,db9239951fe6697979a7f075b41ffead78f8618c3ad940928d9f695f8a5ef222,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-12-explore
008-M2,13,13,explore,ok,123060,123060,0,0,1.1880000000001019,120,18.23400000000038,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-20/plan.json,97c205a88c9fc1cacef0774466b22d1cebd0fe05add3555318ca52f5269b5ac3,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-13-explore
008-M2,14,14,explore,ok,123060,123060,0,0,0.4529999999995198,120,19.20300000000043,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-21/plan.json,c80527091e0f5c8e4964440e6154a2b5b20f8932e4f5718b43b20c5f255a9d46,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-14-explore
008-M2,15,15,explore,ok,205173,123060,6021888,6021888,0.5,120,19.98400000000038,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/proposal-22/plan.json,4dfc28af8ef45496b8ea94724eb62d01285642b2a9a94f1e21154efd7bdec368,results/a/q2-yuanzhifang/stage-b-20260924-042906/008-M2/eval-15-explore
