case,cores,upper,lower,certified,domain,gap
050,4,40176,33353,1,at most one eligible producer per original tensor,0.20456930411057472
050,5,35268,26683,1,at most one eligible producer per original tensor,0.3217404339841847
051,1,607628,607080,1,at most one eligible producer per original tensor,0.0009026816893984435
051,2,317840,303547,1,at most one eligible producer per original tensor,0.047086612616827006
051,3,228325,202373,1,at most one eligible producer per original tensor,0.12823845078147778
051,4,182118,151787,1,at most one eligible producer per original tensor,0.19982607206150726
051,5,168773,121437,1,at most one eligible producer per original tensor,0.38979882572856717
052,1,142046,141589,1,at most one eligible producer per original tensor,0.0032276518656111364
052,2,72917,70825,1,at most one eligible producer per original tensor,0.029537592657959744
052,3,49446,47237,1,at most one eligible producer per original tensor,0.04676418908906155
052,4,38023,35443,1,at most one eligible producer per original tensor,0.07279293513528762
052,5,32160,28367,1,at most one eligible producer per original tensor,0.13371170726548454
053,1,1228587,1212831,1,at most one eligible producer per original tensor,0.012991092740868293
053,2,633140,606468,1,at most one eligible producer per original tensor,0.04397923715678331
053,3,449374,404347,1,at most one eligible producer per original tensor,0.1113573242784045
053,4,370152,303287,1,at most one eligible producer per original tensor,0.22046774177594153
053,5,337612,242651,1,at most one eligible producer per original tensor,0.39134806780108056
054,1,675266,574313,1,at most one eligible producer per original tensor,0.17578045421225008
054,2,359271,287205,1,at most one eligible producer per original tensor,0.2509218154280044
054,3,261723,191503,1,at most one eligible producer per original tensor,0.36667832879902673
054,4,210483,143651,1,at most one eligible producer per original tensor,0.4652386687179344
054,5,190685,114941,1,at most one eligible producer per original tensor,0.6589815644548072
055,1,70981,69049,1,at most one eligible producer per original tensor,0.027980130052571273
055,2,38196,34525,1,at most one eligible producer per original tensor,0.10632874728457642
055,3,31087,23017,1,at most one eligible producer per original tensor,0.35061041838641005
055,4,28242,17263,1,at most one eligible producer per original tensor,0.6359844754677635
055,5,21144,13810,1,at most one eligible producer per original tensor,0.5310644460535843
056,1,246382,245953,1,at most one eligible producer per original tensor,0.0017442356873060838
056,2,126755,122977,1,at most one eligible producer per original tensor,0.03072119176756627
056,3,89179,81985,1,at most one eligible producer per original tensor,0.08774775873635421
056,4,77230,61489,1,at most one eligible producer per original tensor,0.25599700759485433
056,5,69685,49191,1,at most one eligible producer per original tensor,0.4166209265922629
057,1,51663,47565,1,at most one eligible producer per original tensor,0.08615578681803848
057,2,25986,23783,1,at most one eligible producer per original tensor,0.092629188916453
057,3,19811,15855,1,at most one eligible producer per original tensor,0.2495111952065594
057,4,16939,11892,1,at most one eligible producer per original tensor,0.4244029599730912
057,5,16210,9513,1,at most one eligible producer per original tensor,0.7039840218648166
058,1,4519395,4359008,1,at most one eligible producer per original tensor,0.036794380739838095
058,2,2265259,2179744,1,at most one eligible producer per original tensor,0.03923167124212745
058,3,1509251,1453028,1,at most one eligible producer per original tensor,0.03869367968132753
058,4,1158637,1089872,1,at most one eligible producer per original tensor,0.06309456523334855
058,5,1082199,871832,1,at most one eligible producer per original tensor,0.2412930472843391
059,1,826573,737868,1,at most one eligible producer per original tensor,0.12021797936758327
059,2,369318,368972,1,at most one eligible producer per original tensor,0.0009377405331569832
059,3,264422,246280,1,at most one eligible producer per original tensor,0.07366412213740459
059,4,185216,184524,1,at most one eligible producer per original tensor,0.0037501896772236254
059,5,150867,147768,1,at most one eligible producer per original tensor,0.020972064317037464
060,1,751981,720281,1,at most one eligible producer per original tensor,0.04401060141805768
060,2,398996,360165,1,at most one eligible producer per original tensor,0.10781447392167487
060,3,288574,240127,1,at most one eligible producer per original tensor,0.20175573758885923
060,4,216590,180107,1,at most one eligible producer per original tensor,0.2025629209303359
060,5,172962,144096,1,at most one eligible producer per original tensor,0.20032478347768157
061,1,73915,71505,1,at most one eligible producer per original tensor,0.03370393678763728
061,2,37327,35789,1,at most one eligible producer per original tensor,0.04297409818659359
061,3,25993,23894,1,at most one eligible producer per original tensor,0.08784632125219716
061,4,20547,17946,1,at most one eligible producer per original tensor,0.1449348044132397
061,5,18284,14378,1,at most one eligible producer per original tensor,0.27166504381694256
062,1,2619177,2618544,1,at most one eligible producer per original tensor,0.00024173739299393482
062,2,1389508,1309344,1,at most one eligible producer per original tensor,0.06122455214214151
062,3,923516,873000,1,at most one eligible producer per original tensor,0.057864833906071
062,4,775354,654744,1,at most one eligible producer per original tensor,0.18420940092616345
062,5,617306,523836,1,at most one eligible producer per original tensor,0.17843370825983706
063,1,982413,981780,1,at most one eligible producer per original tensor,0.0006447472957282763
063,2,520672,490980,1,at most one eligible producer per original tensor,0.06047496843048594
063,3,367184,327424,1,at most one eligible producer per original tensor,0.12143275996872549
063,4,291142,245649,1,at most one eligible producer per original tensor,0.18519513614954675
063,5,232764,196584,1,at most one eligible producer per original tensor,0.1840434623367111
064,1,16334,15744,1,at most one eligible producer per original tensor,0.03747459349593485
064,2,10393,7882,1,at most one eligible producer per original tensor,0.31857396599847765
064,3,11239,5318,1,at most one eligible producer per original tensor,1.1133884919142534
064,4,11253,4074,1,at most one eligible producer per original tensor,1.7621502209131075
064,5,11274,3573,1,at most one eligible producer per original tensor,2.1553316540722083
065,1,32594,29518,1,at most one eligible producer per original tensor,0.1042076021410665
065,2,17097,14759,1,at most one eligible producer per original tensor,0.15841181651873426
065,3,11636,9840,1,at most one eligible producer per original tensor,0.18252032520325212
065,4,10779,7380,1,at most one eligible producer per original tensor,0.4605691056910568
065,5,9429,5904,1,at most one eligible producer per original tensor,0.5970528455284554
066,1,285974,269743,1,at most one eligible producer per original tensor,0.060172089729853884
066,2,154036,134896,1,at most one eligible producer per original tensor,0.14188708338275413
066,3,121797,89947,1,at most one eligible producer per original tensor,0.35409741292094243
066,4,108456,67473,1,at most one eligible producer per original tensor,0.6073985149615402
066,5,87236,53988,1,at most one eligible producer per original tensor,0.6158405571608505
067,1,60623154,58917376,1,at most one eligible producer per original tensor,0.028952036153137684
