case,cores,upper,lower,certified,domain,gap,applicability
059,2,369318,368972,1,global,0.0009377405331569832,at most one eligible producer per original tensor
059,3,264422,246280,1,global,0.07366412213740459,at most one eligible producer per original tensor
059,4,185216,184524,1,global,0.0037501896772236254,at most one eligible producer per original tensor
059,5,150867,147768,1,global,0.020972064317037464,at most one eligible producer per original tensor
060,1,751981,720281,1,global,0.04401060141805768,at most one eligible producer per original tensor
060,2,398996,360165,1,global,0.10781447392167487,at most one eligible producer per original tensor
060,3,288574,240127,1,global,0.20175573758885923,at most one eligible producer per original tensor
060,4,216590,180107,1,global,0.2025629209303359,at most one eligible producer per original tensor
060,5,172962,144096,1,global,0.20032478347768157,at most one eligible producer per original tensor
061,1,73915,71505,1,global,0.03370393678763728,at most one eligible producer per original tensor
061,2,37327,35789,1,global,0.04297409818659359,at most one eligible producer per original tensor
061,3,25993,23894,1,global,0.08784632125219716,at most one eligible producer per original tensor
061,4,20547,17946,1,global,0.1449348044132397,at most one eligible producer per original tensor
061,5,18284,14378,1,global,0.27166504381694256,at most one eligible producer per original tensor
062,1,2619177,2618544,1,global,0.00024173739299393482,at most one eligible producer per original tensor
062,2,1389508,1309344,1,global,0.06122455214214151,at most one eligible producer per original tensor
062,3,923516,873000,1,global,0.057864833906071,at most one eligible producer per original tensor
062,4,775354,654744,1,global,0.18420940092616345,at most one eligible producer per original tensor
062,5,617306,523836,1,global,0.17843370825983706,at most one eligible producer per original tensor
063,1,982413,981780,1,global,0.0006447472957282763,at most one eligible producer per original tensor
063,2,520672,490980,1,global,0.06047496843048594,at most one eligible producer per original tensor
063,3,367184,327424,1,global,0.12143275996872549,at most one eligible producer per original tensor
063,4,291142,245649,1,global,0.18519513614954675,at most one eligible producer per original tensor
063,5,232764,196584,1,global,0.1840434623367111,at most one eligible producer per original tensor
064,1,16334,15744,1,global,0.03747459349593485,at most one eligible producer per original tensor
064,2,10393,7882,1,global,0.31857396599847765,at most one eligible producer per original tensor
064,3,11239,5318,1,global,1.1133884919142534,at most one eligible producer per original tensor
064,4,11253,4074,1,global,1.7621502209131075,at most one eligible producer per original tensor
064,5,11274,3573,1,global,2.1553316540722083,at most one eligible producer per original tensor
065,1,32594,29518,1,global,0.1042076021410665,at most one eligible producer per original tensor
065,2,17097,14759,1,global,0.15841181651873426,at most one eligible producer per original tensor
065,3,11636,9840,1,global,0.18252032520325212,at most one eligible producer per original tensor
065,4,10779,7380,1,global,0.4605691056910568,at most one eligible producer per original tensor
065,5,9429,5904,1,global,0.5970528455284554,at most one eligible producer per original tensor
066,1,285974,269743,1,global,0.060172089729853884,at most one eligible producer per original tensor
066,2,154036,134896,1,global,0.14188708338275413,at most one eligible producer per original tensor
066,3,121797,89947,1,global,0.35409741292094243,at most one eligible producer per original tensor
066,4,108456,67473,1,global,0.6073985149615402,at most one eligible producer per original tensor
066,5,87236,53988,1,global,0.6158405571608505,at most one eligible producer per original tensor
067,1,60623154,58917376,1,global,0.028952036153137684,at most one eligible producer per original tensor
067,2,30540678,29459760,1,global,0.03669133760763832,at most one eligible producer per original tensor
067,3,20263960,19640555,1,global,0.031740701828436135,at most one eligible producer per original tensor
067,4,15224345,14730952,1,global,0.03349362620962992,at most one eligible producer per original tensor
067,5,12592585,11785191,1,global,0.06850919938421018,at most one eligible producer per original tensor
068,1,260249,249144,1,global,0.044572616639373175,at most one eligible producer per original tensor
068,2,149888,124594,1,global,0.20301138096537552,at most one eligible producer per original tensor
068,3,133864,83077,1,global,0.6113244339588575,at most one eligible producer per original tensor
068,4,135357,62319,1,global,1.1720021181341163,at most one eligible producer per original tensor
068,5,134367,50529,1,global,1.65920560470225,at most one eligible producer per original tensor
069,1,19325,16796,1,global,0.15057156465825194,at most one eligible producer per original tensor
069,2,13308,8504,1,global,0.5649106302916276,at most one eligible producer per original tensor
069,3,10189,5740,1,global,0.7750871080139372,at most one eligible producer per original tensor
069,4,10293,4376,1,global,1.3521480804387567,at most one eligible producer per original tensor
069,5,11962,3722,1,global,2.213863514239656,at most one eligible producer per original tensor
070,1,93082,91873,1,global,0.013159470138125462,at most one eligible producer per original tensor
070,2,47873,45957,1,global,0.04169114607132762,at most one eligible producer per original tensor
070,3,33242,30652,1,global,0.08449693331593378,at most one eligible producer per original tensor
070,4,29485,22999,1,global,0.28201226140266966,at most one eligible producer per original tensor
070,5,25500,18408,1,global,0.38526727509778347,at most one eligible producer per original tensor
071,1,14386,12656,1,global,0.13669405815423508,at most one eligible producer per original tensor
071,2,9261,6434,1,global,0.43938451973888726,at most one eligible producer per original tensor
071,3,9266,4360,1,global,1.1252293577981654,at most one eligible producer per original tensor
071,4,8279,3370,1,global,1.4566765578635015,at most one eligible producer per original tensor
071,5,9465,2918,1,global,2.2436600411240577,at most one eligible producer per original tensor
072,1,22976587,22928161,1,global,0.002112075189981466,at most one eligible producer per original tensor
072,2,11663236,11464114,1,global,0.017369157354855336,at most one eligible producer per original tensor
072,3,7844564,7642765,1,global,0.026403925804339146,at most one eligible producer per original tensor
072,4,5940529,5732096,1,global,0.03636244054530846,at most one eligible producer per original tensor
072,5,4877876,4585695,1,global,0.06371575082948167,at most one eligible producer per original tensor
073,1,8210935,8161280,1,global,0.006084217181618667,at most one eligible producer per original tensor
073,2,4236424,4080944,1,global,0.03809902806801557,at most one eligible producer per original tensor
073,3,2854038,2720832,1,global,0.04895781878484229,at most one eligible producer per original tensor
073,4,2222685,2040776,1,global,0.0891371713505058,at most one eligible producer per original tensor
073,5,1846409,1632743,1,global,0.13086321607258466,at most one eligible producer per original tensor
074,1,1579934,1579590,1,global,0.00021777803100797577,at most one eligible producer per original tensor
074,2,791372,789878,1,global,0.0018914313349656098,at most one eligible producer per original tensor
074,3,533381,526641,1,global,0.012798092058916799,at most one eligible producer per original tensor
074,4,408601,395022,1,global,0.034375300616168225,at most one eligible producer per original tensor
074,5,336399,316051,1,global,0.06438201429516122,at most one eligible producer per original tensor
075,1,1123934,1107632,1,global,0.014717884640385925,at most one eligible producer per original tensor
