cores,gap,cdf
2,0.037303146214549,0.51
2,0.03809902806801557,0.52
2,0.03827591945415221,0.53
2,0.03923167124212745,0.54
2,0.04169114607132762,0.55
2,0.04297409818659359,0.56
2,0.042998641086674505,0.57
2,0.04397923715678331,0.58
2,0.04448788323819253,0.59
2,0.04471114248735142,0.6
2,0.04674001614254886,0.61
2,0.047086612616827006,0.62
2,0.05043954823276553,0.63
2,0.05105340356023724,0.64
2,0.05479794424105888,0.65
2,0.05674152250172404,0.66
2,0.05987915120373022,0.67
2,0.06047496843048594,0.68
2,0.06053203628275128,0.69
2,0.06122455214214151,0.7
2,0.06422841756885633,0.71
2,0.06465330834654748,0.72
2,0.06863768115942026,0.73
2,0.07460944852249196,0.74
2,0.08312158146345672,0.75
2,0.08333676622039143,0.76
2,0.08409780045242332,0.77
2,0.09034089056378769,0.78
2,0.092629188916453,0.79
2,0.09314567206192814,0.8
2,0.0975876247160643,0.81
2,0.1015802682142577,0.82
2,0.10632874728457642,0.83
2,0.10781447392167487,0.84
2,0.11686666848900673,0.85
2,0.12260988185244281,0.86
2,0.1263000226090889,0.87
2,0.14188708338275413,0.88
2,0.15841181651873426,0.89
2,0.17583096171400947,0.9
2,0.20301138096537552,0.91
2,0.22750670797010497,0.92
2,0.2509218154280044,0.93
2,0.2646357563695836,0.94
2,0.31857396599847765,0.95
2,0.3439003060778312,0.96
2,0.37143289301199967,0.97
2,0.38695731437351877,0.98
2,0.43938451973888726,0.99
2,0.5649106302916276,1.0
3,0.0007527219190071044,0.01
3,0.0011085214029902257,0.02
3,0.0017922184897742888,0.03
3,0.0018935215824693596,0.04
3,0.00259908485297089,0.05
3,0.0035780816938524307,0.06
3,0.005061120741194802,0.07
3,0.006162158191943989,0.08
3,0.007142124429399432,0.09
3,0.00803038829487912,0.1
3,0.009297997772284017,0.11
3,0.009657288496276006,0.12
3,0.011118307426597474,0.13
3,0.011964832799576497,0.14
3,0.012707761820235586,0.15
3,0.012798092058916799,0.16
3,0.014528388278388205,0.17
3,0.014600388479033555,0.18
3,0.01564753064167257,0.19
3,0.01677711405637483,0.2
3,0.018684607683043142,0.21
3,0.019206490227251516,0.22
3,0.02210400631413667,0.23
3,0.026403925804339146,0.24
3,0.02669786990161427,0.25
3,0.02790673575129543,0.26
3,0.031740701828436135,0.27
3,0.03869367968132753,0.28
3,0.04519108617404188,0.29
3,0.04676418908906155,0.3
3,0.04720757944452836,0.31
3,0.04895781878484229,0.32
3,0.050969670203657946,0.33
3,0.051392691043424366,0.34
3,0.051774869592022155,0.35
3,0.055913237204818333,0.36
3,0.057788099209005184,0.37
3,0.057864833906071,0.38
3,0.05817383928900699,0.39
3,0.06192188322966219,0.4
3,0.062008658995100774,0.41
3,0.06515207067532658,0.42
3,0.06606023628598368,0.43
3,0.07324922383905608,0.44
3,0.07366412213740459,0.45
3,0.07715252926684535,0.46
3,0.0773759042155151,0.47
3,0.0803627267041902,0.48
3,0.08282545042938128,0.49
3,0.08449693331593378,0.5
3,0.08774775873635421,0.51
3,0.08784632125219716,0.52
3,0.10153578672848451,0.53
3,0.10492196878751492,0.54
3,0.1113573242784045,0.55
3,0.1143033002045657,0.56
3,0.12135998740752396,0.57
3,0.1213840830449826,0.58
3,0.12143275996872549,0.59
3,0.1222060978227395,0.6
3,0.12399426029694283,0.61
3,0.12590120627131962,0.62
3,0.12603506275067922,0.63
3,0.12823845078147778,0.64
3,0.1347546143940479,0.65
3,0.13939628857987296,0.66
3,0.14145984610382567,0.67
3,0.15426312817617172,0.68
3,0.15622466079247532,0.69
3,0.15950797539877004,0.7
3,0.16282608695652168,0.71
3,0.17518248175182483,0.72
3,0.17622703355473135,0.73
3,0.17874871619308452,0.74
3,0.18252032520325212,0.75
3,0.18428686045793996,0.76
3,0.1849569362471113,0.77
3,0.20175573758885923,0.78
3,0.20370390429098317,0.79
