case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
007,3,326994,1012562,3.096576695596861,5363712,5308416,2.3312465000017255,2.7762098999992304,results/a/q2-yuanzhifang/feedback-20260924/round14g/007-gap_packet/run.json,d04e63ca4a70215f091ddd4d3e59743aa5723edb7830eff74708af06919079fd,d6f00fedd7ee7f3674672405e51f66af818b8c02c4fd8ee8a95adbf03ff0f699
008,3,221010,487605,2.206257635401113,8073216,8073216,1.1215506000007736,2.187212400000135,results/a/q2-yuanzhifang/feedback-20260924/round14g/008-gap_packet/run.json,86825acda2ea8b9b7eb86e624a2069bceb86cdecc6181368e3c499beb57b2977,bfd778e7401f0f5b8e9a11a3d9fb33fd60194008a53de967b0c10605684c5530
009,3,46378,153261,3.3046056319806807,1325824,0,4.3598779999992985,4.668504299999768,results/a/q2-yuanzhifang/feedback-20260924/round14g/009-gap_packet/run.json,d1ee83455c9e9358f428756bffdcfd70a66e1979bc3eec0388a0ae2547dc22b5,333ea76e0a9fe56ca10f27ecc42adee48c562b13d918c8e0e335d7ec125428ca
010,3,23140,86969,3.7583837510803804,673420,0,0.9640047000029881,1.3462271999997029,results/a/q2-yuanzhifang/feedback-20260924/round14g/010-gap_packet/run.json,6adddc99a14cd836cc9013f475ed6821efc5580abe429636505fc2852756e139,c94dc29770a18aa943e05f7c083ad2dda65944ad75f533d93f9bcdaadcd35084
011,3,69625,184697,2.6527396768402154,540672,0,0.9817097999984981,1.8608140000033018,results/a/q2-yuanzhifang/feedback-20260924/round14g/011-gap_packet/run.json,a3c198dbf34e9fd5d72371e2a137d2d20fad2c1a8b2ed70ff81afb0fb7fcede1,ee533baec464f63477f2609c257f350c3dd8aa35a5a88cc4c2a1a7bec0262540
012,3,16286,59088,3.6281468746162346,347414,0,1.862398999997822,1.4181019999996352,results/a/q2-yuanzhifang/feedback-20260924/round14g/012-gap_packet/run.json,696b46b364345036b739e24258ec8700443591707ef8061aef0ae45de468ac6d,3dd008890521eabfa050af251229e1377c6ec9a6da80f1839a6a0147ab4455f4
013,3,88351,263949,2.98750438591527,16384,0,1.7353521999975783,2.054854300000443,results/a/q2-yuanzhifang/feedback-20260924/round14g/013-gap_packet/run.json,9ebe68fcc1432b5fa0a741d0a62858e27bed5651f9c88816bbbefaa035ee779c,3b3a05185e2d7a4ac270beb8e0e3fa928d6db730328dd1b4853ac3e92d29adae
014,3,5884986,17698626,3.007420238552819,159122372,57167616,21.42325509999864,41.64740300000267,results/a/q2-yuanzhifang/feedback-20260924/round14g/014-gap_packet/run.json,fd84931b3e432da266976e6103ae7b675ebf070c34c415551a230233e5be279f,7223b5eeb6a81ab221611d97c92c45667c30230cf26057856414c842d5e7da60
015,3,44464,177362,3.988889888449082,1380686,0,1.262355499999103,2.2297230000003765,results/a/q2-yuanzhifang/feedback-20260924/round14g/015-gap_packet/run.json,208e91f81d5026679dd9de5176a60e2e228ea438329dbff63df65af942828778,16b253a64a08352f252961b1a126c3f0c10e37a729f030c157932b75568c3229
016,3,2885946,7715523,2.6734814164922005,344748,0,5.403707400000712,15.62135169999965,results/a/q2-yuanzhifang/feedback-20260924/round13b/016-gap_packet/run.json,f9d5d4562cef964663d981bd67f7f24e3ab46346c39e90274082c30945de6af6,51d9548af0ffc74a693f313f8d0293f98ba1d964b30beb169e7228698e29889a
