case_id,cores,graph_sha256,config_sha256,B,U,L_safe_compute_window,L_safe_global,L_safe_separator,L_safe_compute_base,L_safe_compute_min_window,L_conditional_archived,A_cell,C_cell_safe,C_cell_safe_global,C_cell_conditional,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_max_makespan_reduction,safe_max_relative_speed_gain,conditional_max_makespan_reduction,conditional_max_relative_speed_gain,compute_window_dominant,conditional_dominant,extra_ddr_bytes,spill_bytes,selected,solver_wall_seconds,external_E0_wall_seconds,official_curve_point,L_conditional_combined,C_cell_conditional_combined,old_integer_scalar_certified_by_domination,safe_global_dominant,safe_global_max_makespan_cycles_reduction,mean_speedup_gap_contribution_cap
005,1,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,95618,95618,63918,63918,63882,63882,63918,64021,1.0,1.4959479332895271,1.4959479332895271,1.493541181799722,0.3315275366562781,0.49594793328952713,0.3315275366562781,0.49594793328952713,0.33045033361919307,0.49354118179972195,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.27565854199929163,1.6735237920074724,1.0,64021,1.493541181799722,False,PIPE_M,31700,0.004959479332895271
005,2,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,95618,60186,32018,32018,31941,31941,31977,32080,1.5887083374871231,2.9863826597538883,2.9863826597538883,2.9806109725685785,0.4680158176320074,0.8797551377350241,0.4680158176320074,0.8797551377350241,0.466985677732363,0.8761221945137156,PIPE_M,PIPE_M_rmin_work_qmin,598690,0,heavy-or-sink,1.603556624992052,0.8157527089933865,1.5887083374871231,32080,2.9806109725685785,False,PIPE_M,28168,0.013976743222667651
005,3,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,95618,47601,21416,21416,21294,21294,21330,21433,2.0087393121993236,4.464792678371311,4.464792678371311,4.461251341389446,0.5500934854309784,1.2226839745984313,0.5500934854309784,1.2226839745984313,0.549736350076679,1.2209210096580039,PIPE_M,PIPE_M_rmin_work_qmin,892278,0,heavy-or-sink,1.619853875017725,0.8215044160024263,2.0087393121993236,21433,4.461251341389446,False,PIPE_M,26185,0.024560533661719876
005,4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,95618,42167,16115,16115,15971,15971,16007,16110,2.267602627647212,5.933478125969594,5.933478125969594,5.935319677219119,0.617829108070292,1.6166304685076014,0.617829108070292,1.6166304685076014,0.61794768420803,1.6174425822470515,PIPE_M,PIPE_M_rmin_work_qmin,1150250,0,heavy-or-sink,1.619549916998949,0.6956934999907389,2.267602627647212,16115,5.933478125969594,True,PIPE_M,26052,0.03665875498322382
005,5,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,95618,42487,12976,12976,12777,12777,12813,12916,2.2505236895991714,7.36883477188656,7.36883477188656,7.403065964694952,0.6945889330854144,2.274275585696671,0.6945889330854144,2.274275585696671,0.6960011297573375,2.289485908950139,PIPE_M,PIPE_M_rmin_work_qmin,1344286,0,heavy-or-sink,1.7047811669763178,0.5489914999925531,2.2505236895991714,12976,7.36883477188656,True,PIPE_M,29511,0.05118311082287388
006,1,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,82837,82837,69000,69000,69000,69000,69000,69019,1.0,1.200536231884058,1.200536231884058,1.2002057404482824,0.167038883590666,0.200536231884058,0.167038883590666,0.200536231884058,0.16680951748614747,0.20020574044828243,PIPE_V,PIPE_V_rmin_work_qmin,16400,16400,bounded,0.15395050001097843,0.28812049998668954,1.0,69019,1.2002057404482824,False,PIPE_V,13837,0.00200536231884058
006,2,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,82837,43425,34500,34500,34500,34500,34500,34519,1.907587795048935,2.401072463768116,2.401072463768116,2.399750861844202,0.20552677029360966,0.258695652173913,0.20552677029360966,0.258695652173913,0.2050892343120322,0.2580028390161939,PIPE_V,PIPE_V_rmin_work_qmin,830640,0,fork-frontier,0.5546761250006966,0.15785337498527952,1.907587795048935,34519,2.399750861844202,False,PIPE_V,8925,0.004934846687191809
006,3,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,82837,31153,23000,23000,23000,23000,23000,23019,2.6590376528745225,3.601608695652174,3.601608695652174,3.5986359094660934,0.2617083426957275,0.35447826086956513,0.2617083426957275,0.35447826086956513,0.2610984495875197,0.35336026760502204,PIPE_V,PIPE_V_rmin_work_qmin,30080,0,bounded,0.4102820830012206,0.28581383399432525,2.6590376528745225,23019,3.5986359094660934,False,PIPE_V,8153,0.009425710427776512
006,4,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,82837,30204,17250,17250,17250,17250,17250,17269,2.742583763739902,4.802144927536232,4.802144927536232,4.796861427992356,0.4288835915772745,0.7509565217391305,0.4288835915772745,0.7509565217391305,0.4282545358230698,0.7490300538537262,PIPE_V,PIPE_V_rmin_work_qmin,923392,0,fork-frontier,0.5448954169987701,0.2949325839872472,2.742583763739902,17269,4.796861427992356,False,PIPE_V,12954,0.020595611637963297
006,5,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,82837,31153,13800,13800,13800,13800,13800,13819,2.6590376528745225,6.00268115942029,6.00268115942029,5.9944279615022795,0.5570250056174365,1.257463768115942,0.5570250056174365,1.257463768115942,0.5564151125092287,1.2543599392141256,PIPE_V,PIPE_V_rmin_work_qmin,30080,0,shared-input,0.5348631660162937,0.28316758398432285,2.6590376528745225,13819,5.9944279615022795,False,PIPE_V,17353,0.033436435065457674
