case,cores,baseline_cycles,lower_bound_cycles,makespan_cycles,speedup,speedup_ceiling,possible_speedup_gain,possible_mean_gain_contribution,possible_relative_makespan_reduction_pct,relative_suboptimality_upper_bound_pct,certified_within_5pct,graph_sha256
020,1,532746,532608,532746,1.0,1.0002591023792358,0.00025910237923576496,2.5910237923576497e-06,0.025903526258297394,0.025910237923576496,True,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,2,532746,266304,266828,1.996589563314195,2.0005182047584715,0.003928641444276515,3.928641444276515e-05,0.19638118938042348,0.19676760394136128,True,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,3,532746,177536,180314,2.9545459587164613,3.000777307137707,0.046231348421245766,0.0004623134842124577,1.5406457623922676,1.564753064167257,True,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,4,532746,133152,146116,3.6460483451504286,4.001036409516943,0.3549880643665144,0.0035498806436651442,8.872402748501196,9.736241288151891,False,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
020,5,532746,106552,110112,4.838219267654751,4.999868608754411,0.16164934109965934,0.0016164934109965934,3.233071781458874,3.341091673549057,True,932287c2c204e475df824a3914b7b179226625caf37ae288bac90716ffe16ec4
021,1,6567937,6192816,6560801,1.0010876720693098,1.0605735742834923,0.059485902214182484,0.0005948590221418248,5.608842578825357,5.942127135700459,False,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,2,6567937,3096816,3253018,2.0190287911102858,2.1208676912028355,0.1018389000925497,0.001018389000925497,4.801756399749402,5.043954823276553,False,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,3,6567937,2065032,2170286,3.0263002203396234,3.180549744507591,0.15424952416796778,0.0015424952416796779,4.849775559534553,5.096967020365795,False,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,4,6567937,1548816,1605196,4.091672917201389,4.240617994648815,0.14894507744742658,0.0014894507744742658,3.512343663951323,3.6401999979339017,True,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
021,5,6567937,1239216,1272517,5.161374661399416,5.300074401879899,0.13869974048048306,0.0013869974048048306,2.616939498647164,2.687263560186448,True,d1b1b8a543eab9b359421f0d67baaee43f2890b2562bf2bfa1dfeb5fa5f87b37
