case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
047,4,ok,component-pack,326508,0.3432416249997914,14.29371137500857,463942,0,0,326508,358012,1.0,1.0964876817719627,nikolastarx-20260924T1439Z-boundedfull4-99-P1-047-k4-r0,20260924T1439Z-boundedfull4-99,False,13710,1,13710,1,not an in-tree forest,,,1,0,1
048,4,ok,component-pack,222220,0.07245500001590699,0.29512708299444057,414790,0,0,222220,226990,1.0,1.0214652146521466,nikolastarx-20260924T1439Z-boundedfull4-99-P1-048-k4-r0,20260924T1439Z-boundedfull4-99,False,1728,1,1728,1,not an in-tree forest,,,0,0,0
049,4,ok,component-pack,160242,0.07753220800077543,1.3641693749814294,152540,0,0,196276,215266,1.2248723805244568,1.34338063678686,nikolastarx-20260924T1439Z-boundedfull4-99-P1-049-k4-r0,20260924T1439Z-boundedfull4-99,False,4303,11,3952,4,enough independent components or one core,,,0,0,0
050,4,ok,component-pack,108147,0.07685312500689179,1.4917101669998374,329744,10368,0,149690,163376,1.384134557592906,1.5106845312398864,nikolastarx-20260924T1439Z-boundedfull4-99-P1-050-k4-r0,20260924T1439Z-boundedfull4-99,False,4555,23,4011,4,enough independent components or one core,,,0,0,0
051,4,ok,component-pack,607628,0.07587441601208411,0.23243841697694734,393218,0,0,607628,634666,1.0,1.0444976202544978,nikolastarx-20260924T1439Z-boundedfull4-99-P1-051-k4-r0,20260924T1439Z-boundedfull4-99,False,1416,1,1416,1,not an in-tree forest,,,0,0,0
052,4,ok,component-pack,47938,0.041225124994525686,0.18512858400936238,1069788,259584,0,180301,177263,3.7611289582377236,3.6977554341023824,nikolastarx-20260924T1439Z-boundedfull4-99-P1-052-k4-r0,20260924T1439Z-boundedfull4-99,False,1008,52,120,4,enough independent components or one core,,,0,0,0
053,4,ok,component-pack,492232,0.2399596670002211,9.102653624984669,9356280,6360992,4291488,1472686,1424549,2.991853434965626,2.8940601179931416,nikolastarx-20260924T1439Z-boundedfull4-99-P1-053-k4-r0,20260924T1439Z-boundedfull4-99,False,11670,39,9853,4,enough independent components or one core,,,1,0,1
054,4,ok,component-pack,518015,0.29542229100479744,16.76286458299728,1753732,147456,0,815051,880054,1.5734119668349371,1.6988967500941092,nikolastarx-20260924T1439Z-boundedfull4-99-P1-054-k4-r0,20260924T1439Z-boundedfull4-99,False,15751,24,15390,4,enough independent components or one core,,,1,0,1
055,4,ok,component-pack,31367,0.04090175000601448,0.18596787497517653,741522,115712,0,118835,110901,3.788535722255874,3.535594733318456,nikolastarx-20260924T1439Z-boundedfull4-99-P1-055-k4-r0,20260924T1439Z-boundedfull4-99,False,1236,24,183,4,enough independent components or one core,,,0,0,0
056,4,ok,component-pack,265746,0.18543370900442824,4.289193250006065,221600,0,0,277285,306807,1.0434211615602869,1.1545122033821769,nikolastarx-20260924T1439Z-boundedfull4-99-P1-056-k4-r0,20260924T1439Z-boundedfull4-99,False,7678,19,7464,4,enough independent components or one core,,,1,0,1
057,4,ok,component-pack,20957,0.04142216598847881,0.13112937498954125,342748,288,0,59726,59863,2.8499308107076393,2.856468005916877,nikolastarx-20260924T1439Z-boundedfull4-99-P1-057-k4-r0,20260924T1439Z-boundedfull4-99,False,865,21,193,4,enough independent components or one core,,,0,0,0
058,4,ok,component-pack,1154137,0.34290250000776723,11.447227374999784,52994048,45326336,5586944,4539717,4003378,3.933429913433154,3.468719917999336,nikolastarx-20260924T1439Z-boundedfull4-99-P1-058-k4-r0,20260924T1439Z-boundedfull4-99,False,16575,255,65,16,enough independent components or one core,,,3,3,0
059,4,ok,component-pack,185216,0.07573574999696575,0.40519741701427847,2424832,1081344,0,829473,598922,4.478408992743607,3.2336407221838286,nikolastarx-20260924T1439Z-boundedfull4-99-P1-059-k4-r0,20260924T1439Z-boundedfull4-99,False,2752,64,43,4,enough independent components or one core,,,0,0,0
060,4,ok,component-pack,231814,0.13018087498494424,3.582665833993815,6074430,3975424,790528,888789,930345,3.83406092815792,4.01332533841787,nikolastarx-20260924T1439Z-boundedfull4-99-P1-060-k4-r0,20260924T1439Z-boundedfull4-99,False,5281,89,183,4,enough independent components or one core,,,0,0,0
061,4,ok,component-pack,27170,0.04091245902236551,0.18275545799406245,606396,62208,0,77191,90741,2.841037909458962,3.3397497239602503,nikolastarx-20260924T1439Z-boundedfull4-99-P1-061-k4-r0,20260924T1439Z-boundedfull4-99,False,1115,40,167,4,enough independent components or one core,,,0,0,0
062,4,ok,tree-frontier,841097,0.6580580830050167,6.425683416018728,13453824,52224,0,2854809,2599121,3.39414954517731,3.090156069989549,nikolastarx-20260924T1439Z-boundedfull4-99-P1-062-k4-r0,20260924T1439Z-boundedfull4-99,False,19636,1,19636,18,,17,16,4,4,17
063,4,ok,tree-frontier,294704,0.23371525001130067,2.2280468749813735,5097984,76800,0,1070397,1045591,3.6321088278408165,3.5479362343232532,nikolastarx-20260924T1439Z-boundedfull4-99-P1-063-k4-r0,20260924T1439Z-boundedfull4-99,False,7360,1,7360,5,,25,24,0,0,0
064,4,ok,component-pack,19116,0.04113762499764562,0.12885325000388548,37414,0,0,19116,21512,1.0,1.1253400292948315,nikolastarx-20260924T1439Z-boundedfull4-99-P1-064-k4-r0,20260924T1439Z-boundedfull4-99,False,906,1,906,1,not an in-tree forest,,,0,0,0
065,4,ok,component-pack,14617,0.04050833301153034,0.13096958299865946,357818,41616,0,53068,50993,3.630567147841554,3.4886091537251147,nikolastarx-20260924T1439Z-boundedfull4-99-P1-065-k4-r0,20260924T1439Z-boundedfull4-99,False,704,42,61,4,enough independent components or one core,,,0,0,0
066,4,ok,component-pack,249811,0.1319453330070246,2.1462926249951124,1127818,20784,0,359070,382085,1.4373666491867851,1.5294962992021968,nikolastarx-20260924T1439Z-boundedfull4-99-P1-066-k4-r0,20260924T1439Z-boundedfull4-99,False,5962,28,3675,4,enough independent components or one core,,,0,0,0
067,4,ok,component-pack,18473155,0.12932558299507946,3.447403875004966,269223040,263174912,252010112,63834834,61673047,3.4555458447677183,3.338522683320743,nikolastarx-20260924T1439Z-boundedfull4-99-P1-067-k4-r0,20260924T1439Z-boundedfull4-99,False,8804,71,124,4,enough independent components or one core,,,0,0,0
068,4,ok,component-pack,303921,0.13278012501541525,1.9182880409935024,2772546,1296,0,362095,383777,1.1914115839313506,1.2627524916014359,nikolastarx-20260924T1439Z-boundedfull4-99-P1-068-k4-r0,20260924T1439Z-boundedfull4-99,False,5351,32,4176,4,enough independent components or one core,,,1,0,1
069,4,ok,component-pack,25144,0.039434334001271054,0.1322725409991108,126054,0,0,25144,29730,1.0,1.1823894368437797,nikolastarx-20260924T1439Z-boundedfull4-99-P1-069-k4-r0,20260924T1439Z-boundedfull4-99,False,1032,1,1032,1,not an in-tree forest,,,0,0,0
070,4,ok,component-pack,36336,0.041280875011580065,0.18816854202304967,780924,360960,0,117300,120549,3.228203434610304,3.317618890356671,nikolastarx-20260924T1439Z-boundedfull4-99-P1-070-k4-r0,20260924T1439Z-boundedfull4-99,False,1191,38,285,4,enough independent components or one core,,,0,0,0
071,4,ok,component-pack,18919,0.03904379199957475,0.13240329100517556,121446,0,0,18919,21586,1.0,1.1409693958454463,nikolastarx-20260924T1439Z-boundedfull4-99-P1-071-k4-r0,20260924T1439Z-boundedfull4-99,False,741,1,741,1,not an in-tree forest,,,0,0,0
072,4,ok,component-pack,5897473,0.6189205419796053,22.011176083993632,141227760,130124576,16865736,23897828,11916637,4.0522149062827415,2.0206344310520796,nikolastarx-20260924T1439Z-boundedfull4-99-P1-072-k4-r0,20260924T1439Z-boundedfull4-99,False,29666,476,6140,26,enough independent components or one core,,,4,4,1
073,4,ok,component-pack,3903787,0.07634079101262614,1.1433600839809515,144263296,140222208,129057408,10081626,9487920,2.5825246100773427,2.4304399804599996,nikolastarx-20260924T1439Z-boundedfull4-99-P1-073-k4-r0,20260924T1439Z-boundedfull4-99,False,4836,39,124,4,enough independent components or one core,,,0,0,0
074,4,ok,component-pack,424418,0.07623800000874326,1.7630442499939818,11784408,8007680,1789952,1682239,1274993,3.9636372632640464,3.004097375700371,nikolastarx-20260924T1439Z-boundedfull4-99-P1-074-k4-r0,20260924T1439Z-boundedfull4-99,False,3609,73,269,4,enough independent components or one core,,,0,0,0
075,4,ok,component-pack,1441809,0.18743779201759025,4.233859458006918,1837190,0,0,1441809,1517797,1.0,1.0527032360042141,nikolastarx-20260924T1439Z-boundedfull4-99-P1-075-k4-r0,20260924T1439Z-boundedfull4-99,False,7410,1,7410,1,not an in-tree forest,,,1,0,1
076,4,ok,component-pack,1523838,0.6738076669862494,21.347965499997372,48692818,44422144,406528,6185113,4482506,4.05890455547112,2.941589591544508,nikolastarx-20260924T1439Z-boundedfull4-99-P1-076-k4-r0,20260924T1439Z-boundedfull4-99,False,32528,809,122,32,enough independent components or one core,,,4,4,0
077,4,ok,component-pack,144734,0.12955570800113492,1.3682577919971664,2313392,172032,0,495320,534378,3.4222781101883455,3.6921386819959374,nikolastarx-20260924T1439Z-boundedfull4-99-P1-077-k4-r0,20260924T1439Z-boundedfull4-99,False,4486,41,2096,4,enough independent components or one core,,,0,0,0
