case_id,cores,graph_sha256,current_solver_commit,current_plan_sha256,baseline_B,published_global_lower_L,current_official_M3_U,current_B_over_U,relaxed_B_over_L,max_cycle_reduction_U_minus_L,max_fraction_of_U_reduction,certified_ratio_if_L_valid,max_mean_speedup_contribution,old_bound_baseline_sha,current_feed_baseline_sha
008,4,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,1935d89ad16a59a52ad62b2e00b4b43f30e783ade40fe481fc6063d905da64ce,487605,62532,63768,7.646546857357922,7.797687583957014,1236,0.01938276251411364,1.0197658798695068,0.0015114072659909183,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
008,5,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,80e464e565f31fc4f598bfbc623d7d7cec93432825ffda88ad7fb6c7775664b1,487605,50026,52291,9.324836013845594,9.747031543597329,2265,0.043315293262703,1.0452764562427537,0.0042219552975173436,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee
009,1,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,006adf9bce2db4b34c651d31c0dda90636de35f6940e4d4763d597c00949eac2,153261,119992,121941,1.2568455236548823,1.2772601506767118,1949,0.015983139387080625,1.0162427495166344,0.000204146270218295,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
009,2,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,67c8e9de76539b4ea5608d1540e97d2634365ab6d67a1ab26d4f6ebc0bf2a2bc,153261,59996,61652,2.485904755725686,2.5545203013534237,1656,0.02686044248361774,1.0276018401226747,0.0006861554562773753,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
009,3,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,27d4be8ce2cb478c8aa5f88b1456fbd76ee8ff54cb0797cc78856d1f2930f1f8,153261,39998,44457,3.4473986098927054,3.8317165858292914,4459,0.10029916548575024,1.1114805740287015,0.00384317975936586,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
009,4,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,63fb386686c0f84abde65a1c510edcb75b917fa4a77af52c347129ed71ea9369,153261,29998,35774,4.284144909710963,5.109040602706847,5776,0.16145804215351933,1.1925461697446496,0.008248956929958844,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
009,5,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,e9a1bbe16f4b9b35df1ca39f1f5f05cf24646944a5bda31154092d941716d4db,153261,23999,33957,4.513384574609065,6.3861410892120505,9958,0.2932532320287422,1.4149339555814826,0.01872756514602986,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4
010,1,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,ec35b30a25d0407602fa35b68c68d4356cff6a27b4551dcd0ff7acb3256a8519,86969,55496,57684,1.5076797725539144,1.5671219547354764,2188,0.037930795367866255,1.0394262649560329,0.0005944218218156206,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160
010,2,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,758337e524e632388ca9f0e58afb9553d550c782cda2355870ff18bb6e68049a,86969,27748,29542,2.943910364904204,3.134243909470953,1794,0.0607271003994313,1.0646533083465475,0.001903335445667489,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160
010,3,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,4ce6d9dd76381b9f530f2ef281ee84d2e720a815b0a872b42c4afd42e8e52a8f,86969,18499,22823,3.8105858125575076,4.70128115033245,4324,0.1894580028918197,1.2337423644521326,0.008906953377749428,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160
